coral id ,sample no. ,year bp clam,year bp growth rate,year bp bomb curve,sum.v,bulk N,Glu,Asp,Ala,Ile,Leu,Pro,Val,Gly,Ser,Lys,Tyr,Phe
4902bc1-d?,2,,,,2.5,8.95,14.26,13.56,16.14,20.67,19.28,28.84,20.57,10.39,17.45,,,8.43
4902bc1-d?,7,,,,1.9,9.02,14.16,18.95,20.76,24.40,23.31,32.51,20.93,11.21,11.75,,,7.32
4902bc1-d?,15,,,,2.5,9.97,17.29,14.35,18.60,23.82,22.69,31.37,22.85,11.60,13.89,,,11.00
4902bc1-d?,33,,,,2.0,9.77,16.07,19.54,20.64,26.18,25.46,33.94,22.18,11.95,10.07,,,12.67
4902bc1-d?,61,,,,2.1,8.26,16.09,18.74,21.57,23.82,26.26,34.11,22.05,11.06,11.75,,,10.99
4902bc1-d?,66,,,,1.3,8.18,18.35,19.93,20.78,23.93,23.34,32.52,20.67,11.65,11.39,,,11.49
4902bc1-d?,115,,,,1.3,8.62,18.07,20.54,19.92,23.37,23.09,33.48,20.37,13.01,14.23,,,8.83
4907bc1-d1,23,,,,0.3,8.69,16.93,14.51,19.30,19.18,19.41,25.50,14.78,10.40,11.13,,,10.86
4907bc1-d1,55,,,,1.1,8.95,17.30,13.32,18.34,20.34,21.30,26.49,17.62,12.45,10.49,,,13.64
4907bc1-d1,56,,,,1.4,8.99,15.48,12.31,15.23,19.69,19.25,25.00,16.89,11.08,5.22,,,9.63
4907bc1-d1,134,,,,1.0,8.21,14.45,14.45,14.05,19.96,16.80,26.04,15.19,12.50,7.65,,,9.36
4684bc1-d?,36,,,,1.5,8.99,14.32,13.51,15.57,20.80,18.55,26.38,17.01,8.63,5.95,,,4.13
4684bc1-d?,39,,,,1.2,9.03,14.55,14.02,15.48,21.39,19.09,26.01,16.20,9.31,7.30,,,1.39
4684bc1-d?,41,,,,1.5,8.31,13.98,11.76,15.31,19.51,18.58,25.83,16.13,9.57,7.18,,,5.91
4684bc1-d?,85,,,,0.7,8.02,15.99,14.19,14.70,21.06,18.38,24.91,15.10,10.24,7.70,,,6.76
4684bc1-d?,155,,,,0.9,7.85,15.37,14.00,14.10,20.64,18.11,24.23,15.79,11.51,8.13,,,7.29
