Coral,ID 1,ID 2,Sample,Distance (um),Fraction modern,error,D14C,D14C,d13C,14C Age,error,Year analyzed,calib age,AD,yrmin clam,yrmax clam,prob,median,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_17,2,95,0.8813,0.0041,-118.7,-124.6,-14.8,1010,35,2006,,,528,648,95,588,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_18,7,236,0.8619,0.0032,-138.1,-143.9,-15.2,1190,30,2006,,,662,799,95,731,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_1,11,512,0.7965,0.0028,-203.5,-208.9,-15.0,1830,30,2006,,,1294,1466,95,1380,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_2,20,897,0.7859,0.0032,-214.1,-219.4,-15.7,1930,30,2006,,,1386,1556,95,1471,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_3,30,1229,0.7689,0.0028,-231.1,-236.3,-15.3,2110,30,2006,,,1596,1794,95,1695,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_4,41,1599,0.7634,0.0024,-236.6,-241.8,-15.4,2170,25,2006,,,1689,1847,95,1768,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_5,51,1890,0.7487,0.0028,-251.3,-256.4,-15.1,2320,30,2006,,,1851,2031,95,1941,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_6,60,2180,0.7419,0.0028,-258.1,-263.1,-15.3,2400,30,2006,,,1939,2123,95,2031,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_7,71,2558,0.7391,0.003,-260.9,-265.9,-15.2,2430,30,2006,,,1967,2156,95,2062,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_8,80,2986,0.7254,0.0028,-274.6,-279.5,-15.2,2580,30,2006,,,2155,2328,95,2242,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_9,90,3484,0.7236,0.0025,-276.4,-281.3,-15.4,2600,25,2006,,,2179,2340,95,2260,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_10,100,3799,0.7159,0.0025,-284.1,-288.9,-15.4,2680,30,2006,,,2301,2466,95,2384,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_11,121,4906,0.7059,0.003,-294.1,-298.8,-15.3,2800,35,2006,,,2414,2686,95,2550,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_12,"141,142",5983,0.7053,0.0022,-294.7,-299.5,-15.4,2800,25,2006,,,2440,2676,95,2558,,
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_13,161,6704,0.7020,0.0024,-298.0,-302.7,-15.4,2840,30,2006,,,2487,2705,95,2596,,
