Coral,ID 1,ID 2,Sample,Distance (um),Fraction modern,error,D14C,D14C,d13C,14C Age,error,Year analyzed,calib median age,calib 2sigma min,calib 2sigma max,deltaR Lighty et. al. 1982,clam 2sigma min,clam 2sigma max,prob,median
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_17,2,95,0.8813,0.0041,-118.7,-124.6,-14.8,1010,35,2006,,527,650,,528,648,95,588
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_18,7,236,0.8619,0.0032,-138.1,-143.9,-15.2,1190,30,2006,,661,802,,662,799,95,731
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_1,11,512,0.7965,0.0028,-203.5,-208.9,-15,1830,30,2006,,1293,1468,,1294,1466,95,1380
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_2,20,897,0.7859,0.0032,-214.1,-219.4,-15.7,1930,30,2006,,1383,1558,,1386,1556,95,1471
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_3,30,1229,0.7689,0.0028,-231.1,-236.3,-15.3,2110,30,2006,,1593,1796,,1596,1794,95,1695
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_4,41,1599,0.7634,0.0024,-236.6,-241.8,-15.4,2170,25,2006,,1688,1849,,1689,1847,95,1768
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_5,51,1890,0.7487,0.0028,-251.3,-256.4,-15.1,2320,30,2006,,1848,2032,,1851,2031,95,1941
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_6,60,2180,0.7419,0.0028,-258.1,-263.1,-15.3,2400,30,2006,,1936,2125,,1939,2123,95,2031
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_7,71,2558,0.7391,0.003,-260.9,-265.9,-15.2,2430,30,2006,,1964,2159,,1967,2156,95,2062
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_8,80,2986,0.7254,0.0028,-274.6,-279.5,-15.2,2580,30,2006,,2153,2329,,2155,2328,95,2242
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_9,90,3484,0.7236,0.0025,-276.4,-281.3,-15.4,2600,25,2006,,2177,2341,,2179,2340,95,2260
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_10,100,3799,0.7159,0.0025,-284.1,-288.9,-15.4,2680,30,2006,,2300,2469,,2301,2466,95,2384
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_11,121,4906,0.7059,0.003,-294.1,-298.8,-15.3,2800,35,2006,,2409,2687,,2414,2686,95,2550
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_12,"141,142",5983,0.7053,0.0022,-294.7,-299.5,-15.4,2800,25,2006,,2437,2677,,2440,2676,95,2558
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_13,161,6704,0.702,0.0024,-298,-302.7,-15.4,2840,30,2006,,2484,2706,,2487,2705,95,2596
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_14,"178,179,180",7349,0.6968,0.0025,-303.2,-307.9,-15.9,2900,30,2006,,2570,2750,,2596,2749,93.6,2673
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_15,"206,207",7988,0.6819,0.0024,-318.1,-322.7,-15.7,3070,30,2006,,2751,2923,,2753,2922,95,2838
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_16,"220,221",8796,0.6769,0.0028,-323.1,-327.6,-16.3,3130,35,2006,,2794,3023,,2797,3021,95,2909
