depth	min95%	max95%	best	accrate
0	-54	-46	-52	0.0114064104026463
1	21	52	36	0.0539956803455724
1.829	31	75	51	0.110741971207087
1.947	31	78	52	0.106382978723404
2	31	79	52	0.104058272632674
2.006	31	79	53	0.101010101010101
2.065	31	81	53	0.094876660341556
2.124	30	83	54	0.0881834215167548
2.183	30	85	54	0.0813008130081301
2.242	31	87	55	0.0744601638123604
2.301	32	88	56	0.0681198910081744
2.36	32	90	57	0.0633713561470216
2.419	32	91	58	0.0599161174355902
2.478	33	94	59	0.0561797752808989
2.537	33	96	60	0.0513874614594039
2.596	34	97	61	0.0460617227084293
2.655	36	99	62	0.040766408479413
2.714	37	102	64	0.0357909806728704
2.773	39	104	65	0.0292483182217023
2.891	42	108	69	0.0232396002788752
3	46	113	74	0.0210703750526759
3.009	47	113	74	0.0200400801603206
3.068	49	116	77	0.0185185185185185
3.127	52	119	81	0.0167336010709505
3.245	56	125	88	0.0153515505066012
3.304	59	128	91	0.0146049364685264
3.363	62	132	95	0.0136817622109728
3.481	67	140	104	0.012685525815045
3.599	74	150	113	0.0120641814452889
3.658	77	155	118	0.0117384669562155
3.717	80	161	123	0.0115154306771073
3.776	84	166	128	0.0113856313332574
3.835	88	171	134	0.0113455865668255
3.894	92	176	139	0.0113908189998861
3.953	97	182	144	0.0115048320294524
4	100	186	148	0.0115995824150331
4.012	101	187	149	0.0117384669562155
4.071	105	192	154	0.0120206755619666
4.13	109	196	159	0.0123777695259314
4.189	113	201	164	0.0128238009746089
4.248	118	206	168	0.0133725595078898
4.307	122	210	173	0.014052838673412
4.366	125	214	177	0.0148986889153754
4.425	127	219	181	0.01595914458985
4.484	130	223	185	0.0173100225030293
4.543	134	226	188	0.0190548780487805
4.602	138	229	191	0.0211685012701101
4.661	141	231	194	0.0234631628343501
4.72	144	234	197	0.025879917184265
4.779	147	236	199	0.028328611898017
4.838	150	238	201	0.0306748466257669
4.897	152	240	203	0.0327439423706614
4.956	155	242	205	0.0341880341880342
5	157	243	206	0.0348068221371389
5.015	158	244	206	0.0352982703847511
5.074	160	246	208	0.0357142857142857
5.133	163	247	210	0.0359841669665347
5.192	165	249	211	0.0361141206211629
5.251	167	250	213	0.036036036036036
5.369	171	252	216	0.035486160397445
5.487	178	254	220	0.0347705146036161
5.546	180	255	221	0.0341413451689997
5.605	182	256	223	0.0334224598930481
5.664	184	257	225	0.0326157860404436
5.723	186	257	227	0.0317460317460317
5.782	189	259	228	0.0308451573103023
5.841	192	260	230	0.0300210147102972
5.9	195	261	232	0.0293169158604515
5.959	197	263	234	0.0288018433179724
6	200	263	236	0.0285225328009127
6.018	201	264	236	0.0282087447108604
6.077	204	265	238	0.0277777777777778
6.136	207	266	241	0.0274348422496571
6.195	209	268	243	0.0271591526344378
6.254	212	269	245	0.0269541778975741
6.313	215	270	247	0.0268312315535283
6.372	217	272	249	0.0268096514745308
6.431	220	274	251	0.0270124257158293
6.549	225	277	256	0.0274423710208562
6.608	228	279	258	0.0279017857142857
6.667	230	281	260	0.0285062713797035
6.726	234	284	262	0.0292654375182909
6.785	235	286	264	0.0302114803625378
6.844	237	288	266	0.0313381385145722
6.903	240	289	268	0.0326157860404436
6.962	242	291	270	0.0337837837837838
7	243	292	271	0.0345423143350604
7.021	244	293	272	0.0356633380884451
7.08	246	295	273	0.0374812593703148
7.139	247	297	275	0.0395726157499011
7.198	248	299	276	0.0419815281276238
7.257	250	301	278	0.044762757385855
7.316	251	302	279	0.0480538202787122
7.375	252	304	280	0.051975051975052
7.434	253	305	281	0.0566893424036281
7.493	254	307	282	0.0625390869293308
7.552	255	308	283	0.0695410292072323
7.611	257	309	284	0.0745156482861401
7.67	258	310	285	0.0742390497401633
7.729	259	312	286	0.0689179875947622
7.788	261	314	287	0.0616142945163278
7.847	261	315	288	0.0542299349240781
7.906	262	317	289	0.0473484848484848
7.965	264	318	290	0.0423728813559322
8	264	319	291	0.0394321766561514
8.024	264	320	291	0.035486160397445
8.083	265	322	293	0.0305157155935307
8.142	267	325	295	0.0262536098713573
8.201	268	328	297	0.0212856534695615
8.319	274	336	303	0.0180277627546422
8.378	277	340	306	0.0164880461665293
8.437	279	344	310	0.015271838729383
8.496	282	348	313	0.0142836737608913
8.555	286	351	318	0.0134408602150538
8.614	290	356	322	0.01271132579128
8.673	294	360	327	0.012071463061323
8.732	299	364	332	0.0112511251125113
8.85	309	374	342	0.0105607772732073
8.909	314	379	348	0.010160536476326
8.968	319	385	353	0.00987849451743554
9	322	388	357	0.009706853038245
9.027	325	391	359	0.0094732853353543
9.086	330	398	366	0.00917683766174176
9.145	336	404	372	0.00878271561566837
9.263	347	420	386	0.00843668269636379
9.322	354	428	392	0.00823045267489712
9.381	360	435	400	0.00804117079446767
9.44	365	443	407	0.00786720163637794
9.499	373	450	414	0.00770712909441233
9.558	380	458	422	0.00756258035241624
9.617	385	466	430	0.00743439149505613
9.676	393	474	438	0.00727008360596147
9.794	408	493	454	0.00713317640345246
9.853	415	503	462	0.0070576610911144
9.912	423	512	471	0.00699300699300699
9.971	429	521	479	0.00695168578380257
10	432	526	483	0.00692712662787476
10.03	436	531	488	0.00689560060681285
10.089	443	541	496	0.00686153423905585
10.148	449	551	505	0.00683667190811513
10.207	457	561	513	0.00681523887412254
11	538	707	630	NA
