depth	min95%	max95%	best	accrate
1	341	656	499	0.00452284034373587
2	635	801	720	0.00635768326021998
3	719	1022	878	0.00970779535967382
4	782	1172	981	0.0171585449553878
5	838	1236	1039	0.0433275563258232
6	894	1233	1062	-0.387596899224806
7	935	1194	1059	-0.0546746856205577
8	954	1138	1041	-0.0475511174512601
9	941	1125	1020	-0.106044538706257
10	923	1137	1011	0.0786163522012579
11	933	1145	1023	0.0295159386068477
12	970	1155	1057	0.0192864030858245
13	1015	1189	1109	0.015008254539997
14	1062	1270	1176	0.0128122998078155
15	1126	1358	1254	0.0116618075801749
16	1203	1448	1339	0.011154489682097
17	1295	1534	1429	0.0111383381599465
18	1394	1624	1519	0.0116130530716525
19	1490	1714	1605	0.0127129417747267
20	1571	1794	1684	0.014830194275545
21	1630	1868	1751	0.0190803281816447
22	1680	1934	1803	0.0291375291375291
23	1713	1975	1838	0.0579710144927536
24	1728	1992	1855	0.371747211895911
25	1735	1989	1858	-0.106609808102345
26	1728	1971	1848	-0.0527704485488127
27	1717	1946	1829	-0.0384172109104879
28	1696	1905	1803	-0.0326690623979092
29	1668	1874	1773	-0.0305810397553517
30	1625	1844	1740	-0.0309789343246592
31	1590	1820	1708	-0.0339328130302002
32	1548	1804	1678	-0.0400641025641026
33	1509	1794	1653	-0.05249343832021
34	1475	1791	1634	-0.0852514919011083
35	1454	1788	1623	-0.332225913621262
36	1440	1792	1620	0.140449438202247
37	1439	1800	1627	0.0536193029490617
38	1458	1820	1645	0.0316656111462951
39	1493	1849	1677	0.0217770034843206
40	1544	1885	1723	0.0162179695102173
41	1625	1934	1784	0.0126887450831113
42	1724	1998	1863	0.0102711585866886
43	1830	2078	1961	0.0085236958745312
44	1956	2174	2078	0.00721084511104701
45	2089	2315	2217	NA
