depth	min95%	max95%	best	accrate
1	905	1133	988	48.91
2	966	1164	1037	70.88
3	1046	1213	1108	70.88
4	1117	1259	1179	70.88
5	1183	1328	1249	70.88
6	1247	1411	1320	70.88
7	1304	1498	1391	-0.56
8	1322	1474	1391	-18.42
9	1322	1450	1372	-13.84
10	1308	1472	1358	32.51
11	1341	1471	1391	32.51
12	1369	1486	1423	32.51
13	1393	1536	1456	42.76
14	1420	1593	1499	89.42
15	1516	1673	1588	89.42
16	1610	1754	1677	89.42
17	1700	1843	1767	89.42
18	1784	1932	1856	89.42
19	1862	2026	1946	89.42
20	1940	2121	2035	89.42
21	2014	2217	2125	89.42
22	2085	2319	2214	-0.89
23	2090	2312	2213	-13.21
24	2093	2292	2200	-13.21
25	2091	2284	2187	-13.21
26	2081	2284	2174	-13.21
27	2070	2281	2160	-13.21
28	2055	2277	2147	-13.21
29	2039	2279	2134	-13.21
30	2022	2282	2121	-13.21
31	2000	2287	2107	27.95
32	2031	2309	2135	36.99
33	2072	2335	2172	36.99
34	2113	2364	2209	36.99
35	2153	2395	2246	36.99
36	2190	2425	2283	36.99
37	2226	2455	2320	36.99
38	2258	2488	2357	36.99
39	2292	2521	2394	36.99
40	2327	2555	2431	36.99
41	2361	2588	2468	36.99
42	2394	2620	2505	36.99
43	2425	2657	2542	36.99
44	2457	2697	2579	2.96
45	2460	2701	2582	NA
