depth	min95%	max95%	best	acc.rate
0.34	650	798	708	35.44
0.52	657	805	715	35.44
0.68	662	810	720	35.44
0.85	669	816	726	35.44
1.18	682	827	738	35.44
1.3	686	831	742	35.44
1.54	695	839	751	35.44
1.69	700	844	756	35.44
1.87	707	850	762	35.44
2.38	725	867	780	35.44
2.86	743	882	797	35.44
3.51	767	904	821	35.44
4.4	799	933	852	35.44
4.7	810	942	863	35.44
5.15	826	957	879	35.44
5.65	843	973	896	35.44
5.82	849	979	902	35.44
5.95	854	983	907	35.44
6.13	861	989	913	35.44
6.74	882	1009	935	35.44
6.92	888	1015	941	35.44
7.04	892	1019	946	35.44
7.2	898	1024	951	35.44
7.32	902	1028	956	35.44
7.64	914	1039	967	35.44
7.93	925	1049	977	35.44
8.64	950	1073	1002	35.44
8.85	958	1080	1010	35.44
9.05	964	1087	1017	35.44
9.11	967	1089	1019	35.44
9.54	982	1103	1034	35.44
9.83	992	1112	1044	35.44
9.91	995	1114	1047	35.44
10.19	1005	1123	1057	35.44
10.37	1012	1129	1064	35.44
10.43	1014	1131	1066	35.44
10.55	1018	1135	1070	35.44
10.65	1022	1139	1074	35.44
10.74	1025	1142	1077	35.44
11.44	1049	1165	1102	35.44
11.8	1061	1178	1114	35.44
12.05	1070	1186	1123	35.44
12.33	1080	1196	1133	35.44
12.81	1097	1211	1150	35.44
13.11	1107	1223	1161	35.44
13.45	1119	1235	1173	35.44
13.82	1132	1247	1186	35.44
14.14	1144	1258	1197	35.44
14.66	1162	1276	1216	35.44
15.52	1192	1307	1246	35.44
15.74	1200	1314	1254	35.44
16.02	1210	1324	1264	35.44
16.18	1215	1330	1269	35.44
16.8	1237	1353	1291	35.44
17.08	1246	1362	1301	35.44
17.24	1252	1368	1307	35.44
17.36	1256	1372	1311	35.44
17.56	1263	1379	1318	35.44
17.7	1268	1384	1323	35.44
17.84	1272	1389	1328	35.44
18.01	1278	1395	1334	35.44
18.28	1288	1404	1344	35.44
18.56	1297	1414	1354	35.44
18.68	1301	1418	1358	35.44
18.9	1309	1427	1366	35.44
19.39	1326	1445	1383	35.44
20.34	1359	1481	1417	35.44
20.94	1379	1503	1438	35.44
21.24	1389	1513	1449	35.44
21.66	1404	1527	1464	35.44
22.12	1420	1543	1480	35.44
22.26	1425	1548	1485	35.44
23.42	1465	1591	1526	35.44
24.45	1500	1629	1563	35.44
24.79	1511	1643	1575	35.44
25.09	1521	1654	1585	35.44
25.33	1529	1663	1594	35.44
25.53	1536	1670	1601	35.44
25.68	1541	1676	1606	35.44
25.92	1548	1686	1615	35.44
26.26	1560	1699	1627	35.44
26.79	1579	1719	1645	35.44
27.48	1602	1745	1670	35.44
28.19	1627	1771	1695	35.44
28.38	1633	1778	1702	35.44
28.58	1640	1785	1709	35.44
28.73	1645	1791	1714	35.44
29.05	1656	1804	1726	35.44
29.45	1670	1819	1740	35.44
29.65	1677	1827	1747	35.44
29.77	1681	1831	1751	35.44
30.08	1691	1843	1762	35.44
30.29	1698	1851	1770	35.44
30.65	1710	1864	1782	35.44
30.82	1716	1871	1788	35.44
31.57	1742	1900	1815	35.44
31.72	1747	1906	1820	35.44
31.82	1751	1909	1824	35.44
32.4	1770	1932	1844	35.44
32.9	1787	1952	1862	35.44
33.11	1794	1960	1869	35.44
33.33	1801	1969	1877	35.44
33.46	1805	1974	1882	35.44
33.86	1819	1989	1896	35.44
34.01	1824	1995	1901	35.44
34.36	1835	2009	1914	35.44
34.63	1844	2019	1923	35.44
34.95	1855	2032	1935	35.44
35	1857	2034	1936	35.44
35.33	1868	2047	1948	35.44
35.49	1873	2053	1954	35.44
35.62	1878	2058	1958	35.44
35.74	1882	2063	1963	35.44
36.27	1899	2083	1981	35.44
36.65	1911	2098	1995	35.44
36.81	1916	2105	2001	35.44
36.93	1920	2109	2005	35.44
37.12	1927	2117	2012	35.44
37.6	1943	2135	2029	35.44
37.71	1947	2140	2032	35.44
38.8	1982	2182	2071	35.44
38.93	1987	2187	2076	35.44
39.34	2000	2203	2090	35.44
39.78	2015	2221	2106	35.44
39.89	2018	2225	2110	35.44
40.08	2025	2232	2116	35.44
40.4	2036	2245	2128	35.44
40.68	2045	2256	2138	35.44
40.89	2052	2264	2145	35.44
41.19	2062	2276	2156	35.44
41.59	2076	2291	2170	35.44
42.17	2095	2314	2191	35.44
42.49	2106	2326	2202	35.44
43.1	2126	2350	2223	35.44
43.32	2133	2359	2231	35.44
43.65	2144	2372	2243	35.44
43.88	2151	2381	2251	35.44
44.04	2156	2387	2257	35.44
44.45	2169	2403	2271	35.44
44.92	2184	2421	2288	35.44
