depth,d15N,d13C
0.09,8.26,-16.45
0.18,8.09,-16.56
0.27,,
0.36,,
0.45,,
0.54,7.89,-16.27
0.63,8.65,-15.79
0.72,8.66,-17.25
0.81,8.66,-17.54
0.9,8.58,-17.36
0.99,8.66,-15.86
1.08,8.65,-15.41
1.17,8.72,-15.34
1.26,8.57,-15.28
1.35,8.37,-15.23
1.44,8.61,-15.34
1.53,8.73,-15.61
1.62,8.65,-17.45
1.71,8.72,-17.56
1.8,8.59,-17.71
1.89,8.84,-16.55
1.98,8.87,-15.95
2.07,8.82,-15.79
2.16,8.77,-15.70
2.25,8.75,-14.96
2.34,8.74,-15.41
2.43,8.59,-15.45
2.52,8.47,-15.36
2.61,8.36,-15.52
2.7,8.31,-15.76
2.79,7.96,-15.67
2.88,7.90,-15.75
2.97,7.98,-17.57
3.06,7.36,-20.24
3.15,7.39,-20.41
3.24,7.08,-21.39
3.33,7.28,-20.09
3.42,7.17,-19.05
3.51,7.31,-18.47
3.6,7.90,-16.82
3.69,8.08,-16.22
3.78,7.96,-15.77
3.87,8.12,-15.11
3.96,8.06,-15.45
4.05,8.04,-15.49
4.14,8.08,-14.83
4.23,8.30,-15.24
4.32,8.42,-15.51
4.41,8.26,-15.34
4.5,8.00,-15.62
4.59,7.60,-17.73
4.68,7.68,-16.23
4.77,7.54,-15.98
4.86,7.47,-15.74
4.95,7.65,-15.64
5.04,7.53,-15.61
5.13,7.65,-15.53
5.22,7.55,-15.80
5.31,7.26,-17.64
5.4,7.91,-18.69
5.49,7.62,-19.69
5.58,7.12,-21.31
5.67,6.77,-22.05
5.76,7.53,-19.92
5.85,8.06,-17.21
5.94,7.63,-18.50
6.03,7.63,-17.15
6.12,7.72,-17.07
6.21,7.95,-16.82
6.3,7.93,-15.92
6.39,7.88,-15.78
6.48,8.01,-15.60
6.57,8.07,-15.89
6.66,7.88,-16.81
6.75,7.84,-16.17
6.84,7.67,-15.85
6.93,7.56,-16.21
7.02,7.65,-15.58
7.11,7.98,-15.48
7.2,8.17,-15.32
