depth	min95%	max95%	best	accrate
0	589	791	667	0.00117987139401805
0.09	666	859	744	0.00118049817022784
0.18	745	927	820	0.00118476393578579
0.27	823	997	896	0.00119517150711127
0.36	900	1064	971	0.00121425535790177
0.45	976	1129	1045	0.00124299262905371
0.54	1050	1193	1118	0.0012801638609742
0.63	1124	1255	1188	0.00132255888693444
0.72	1193	1316	1256	0.00137055767991996
0.81	1261	1375	1322	0.00142509013695116
0.9	1328	1432	1385	0.00148676776687481
0.99	1391	1489	1445	0.00152367021681827
1	1398	1495	1452	0.00155853061733398
1.08	1452	1544	1503	0.00162898286310028
1.17	1510	1597	1559	0.00171095180248772
1.26	1567	1647	1611	0.00180014761210419
1.35	1619	1695	1661	0.00189494428863791
1.44	1669	1742	1709	0.00199545037314922
1.53	1715	1785	1754	0.00210176758654028
1.62	1760	1828	1797	0.0022146432209771
1.71	1801	1868	1837	0.00233573914465233
1.8	1841	1906	1876	0.00246584800512896
1.89	1879	1943	1912	0.00260532006356981
1.98	1914	1977	1947	0.00269512721000431
2	1921	1984	1954	0.00277039007092199
2.07	1948	2009	1980	0.00290951411114344
2.16	1980	2040	2010	0.00307361303211926
2.25	2009	2069	2040	0.00324359390204346
2.34	2038	2097	2068	0.00341740140796938
2.43	2065	2123	2094	0.00359324469996407
2.52	2091	2148	2119	0.0037691756812785
2.61	2114	2171	2143	0.00394975906469705
2.7	2138	2194	2166	0.00414044385558132
2.79	2159	2215	2187	0.00434197386131735
2.88	2179	2236	2208	0.00455435624174523
2.97	2199	2257	2228	0.00470278404815651
3	2206	2263	2234	0.00481602774031978
3.06	2218	2276	2247	0.00500600720865038
3.15	2236	2295	2265	0.00523532799329878
3.24	2254	2312	2282	0.00546239143497023
3.33	2270	2329	2298	0.00568407889501506
3.42	2286	2345	2314	0.00589657409045345
3.51	2301	2361	2329	0.00610426077402027
3.6	2315	2376	2344	0.00631991404916893
3.69	2328	2393	2358	0.00654621628698612
3.78	2341	2408	2372	0.00678334011667345
3.87	2352	2422	2385	0.00703383273545755
3.96	2363	2435	2398	0.00722543352601156
4	2368	2441	2404	0.00736268590781917
4.05	2374	2449	2410	0.00758552681483729
4.14	2385	2462	2422	0.00788892395077311
4.23	2395	2475	2434	0.00821422704123542
4.32	2404	2487	2445	0.00856311012159616
4.41	2412	2498	2455	0.00893734918223255
4.5	2420	2510	2465	0.00934142923867352
4.59	2429	2519	2475	0.00977708251857646
4.68	2436	2531	2484	0.0102490519626935
4.77	2443	2540	2493	0.0107631040792164
4.86	2451	2550	2501	0.0113211819313936
4.95	2458	2559	2509	0.0117744024490757
5	2462	2564	2513	0.0120598166907863
5.04	2465	2567	2517	0.0124564025909317
5.13	2471	2576	2524	0.0129785853341986
5.22	2478	2582	2531	0.0134480903711673
5.31	2485	2589	2538	0.013848497438028
5.4	2492	2596	2544	0.0141663125088539
5.49	2499	2602	2550	0.0143864192202561
5.58	2506	2609	2557	0.0145011600928074
5.67	2512	2616	2563	0.0145032632342277
5.76	2519	2621	2569	0.0143926309729419
5.85	2526	2627	2575	0.0141763538417919
5.94	2533	2632	2582	0.0139236981342245
6	2539	2636	2586	0.0137438152831226
6.03	2541	2638	2588	0.0134898151895319
6.12	2548	2644	2595	0.0130890052356021
6.21	2556	2650	2602	0.012666244458518
6.3	2564	2656	2609	0.0122294239941299
6.39	2571	2662	2616	0.0117841150129625
6.48	2581	2668	2624	0.0113352981183405
6.57	2591	2674	2632	0.0108861310690181
6.66	2600	2680	2640	0.0104416831993317
6.75	2610	2686	2649	0.0100240577385726
6.84	2620	2695	2658	0.00964413154595429
6.93	2630	2702	2667	0.00933619643357296
7	2638	2709	2675	0.0091734703238235
7.02	2640	2710	2677	0.00898472596585804
7.11	2651	2719	2687	0.00869716472429988
7.2	2661	2728	2697	0.00775795190069822
8	2762	2833	2800	0.00738770685579196
9	2870	3002	2936	NA
