depth,d15N,d13C
0.03821631,9.974541287,-14.99643767
0.236037413,9.425452082,-15.99188738
0.374164144,9.022516011,-15.16184472
0.541138191,8.520114613,-16.39688404
0.679264923,8.065415974,-16.54324422
0.773805829,8.8865124,-15.74728544
0.804652884,8.320169006,-15.40644666
0.866346995,8.322198911,-16.28761514
0.933410621,8.543458516,-15.66007081
1.018582531,8.688596698,-15.62297953
1.080276642,8.854033926,-15.71119663
1.105754182,9.012366488,-15.58689072
1.131231723,8.472411854,-15.94978377
1.229142404,9.05702439,-15.66809055
1.259989459,8.698746221,-15.47962675
1.32168357,8.931170303,-16.0520354
1.352530625,8.16894111,-15.87560121
1.463180076,8.141537398,-15.45256014
1.494027132,8.937260016,-15.45556755
1.555721242,8.616535083,-15.86758147
1.599307068,8.844899355,-15.78838658
1.779019885,8.713970506,-15.57987345
1.82260571,8.15574673,-15.8304902
1.951363447,9.018456202,-15.77134464
2.013057557,8.948424492,-15.3021901
2.056643383,8.990037537,-15.07563256
2.110968238,8.913916113,-15.57686605
2.21087866,9.080368294,-16.02396632
2.28531154,9.415302559,-15.7242287
2.298050311,9.071233723,-16.00892932
2.334266881,9.206222381,-15.83149266
2.370483451,9.287418567,
2.475763387,8.585071561,-15.56784385
2.557565523,9.027590773,-15.26509882
2.847927792,8.401365192,-15.76232244
2.916991157,8.135447684,-16.12220809
2.986054523,8.32625872,-15.93574923
3.004162808,8.077595401,-15.89164068
3.040379379,9.247835426,-15.1077115
3.17850611,8.244047582,-16.10316122
3.234830706,9.346285801,-15.61094993
3.291155302,8.088759877,-15.67410535
3.370957698,8.337423195,-15.67410535
3.552670255,8.862153545,-15.42749847
3.627103136,8.424709095,-16.34074589
3.645211421,8.202434537,-16.28661267
3.676058476,8.068460831,-15.87459874
3.824924238,8.610445369,-15.67310288
3.893987604,9.210282191,-15.80843592
4.081069676,8.695701364,-16.13123029
4.304368318,8.495755757,-15.87259381
4.48071136,8.120223399,-15.50769583
4.693270973,8.94740954,-16.29663734
4.749595568,8.519099661,-15.50669336
4.793181394,8.54954823,-15.82648033
4.931308126,8.655103271,-16.01594659
4.949416411,7.737586374,-16.95124828
5.031218547,9.112846768,-15.6420264
5.187453564,9.493453888,-15.27913336
5.231039389,9.700504161,-15.49967609
5.478445537,8.612475274,-15.37436772
5.534770133,8.343512909,-15.6420264
5.578355958,8.207509298,-15.54578957
5.683635894,8.639878987,-15.55180438
5.73996049,8.550563183,-15.4024368
5.852609681,8.214613965,-15.4144664
6.070538809,8.371931574,-15.82347293
6.175818745,8.36584186,-15.65706341
6.188557515,8.508950137,-15.69415469
6.306576222,8.156761682,-16.19137831
6.629785285,8.408469858,-15.66408068
6.936256098,7.701845187,-16.00296982
6.954364384,7.718025596,-15.80022973
7.079752345,7.83128846,
7.604781991,8.190291287,-16.77642324
7.748278238,7.604762733,-16.51995704
7.786494548,7.647236307,-16.85143708
7.92462128,7.976912142,-17.95434314
8.249830084,7.866683105,-16.25842233
8.30615468,8.120513273,-16.38209378
8.709166139,7.248793733,-17.06228676
