depth	min95%	max95%	best	acc.rate
0.03	-49	-38	-45	344.37
0.06	-42	-22	-34	344.37
0.09	-35	-5	-24	344.37
0.12	-28	11	-14	344.37
0.15	-21	28	-3	344.37
0.17	-17	39	4	344.37
0.2	-10	56	14	344.37
0.23	-4	72	24	344.37
0.26	3	89	35	344.37
0.29	10	106	45	279.16
0.32	18	110	53	204.64
0.35	21	113	59	204.64
0.38	21	140	65	204.64
0.41	15	177	72	204.64
0.44	7	212	78	97.65
0.46	7	213	80	-9.34
0.49	13	187	79	-9.34
0.52	15	175	79	-9.34
0.55	14	184	79	-9.34
0.58	10	211	79	182.96
0.61	13	215	84	351.23
0.64	23	206	95	351.23
0.67	23	205	105	351.23
0.7	20	206	116	351.23
0.73	16	218	126	351.23
0.75	11	234	133	409.26
0.78	29	243	146	423.77
0.81	55	244	158	423.77
0.84	81	250	171	423.77
0.87	102	258	184	423.77
0.9	114	266	196	423.77
0.93	126	279	209	423.77
0.96	134	294	222	423.77
0.99	142	310	235	423.77
1.02	148	326	247	423.77
1.04	149	338	256	229.08
1.07	160	341	263	199.12
1.1	172	342	269	199.12
1.13	185	342	275	199.12
1.16	196	345	281	199.12
1.19	208	348	286	199.12
1.22	220	349	292	199.12
1.25	229	353	298	199.12
1.28	241	358	304	199.12
1.31	249	366	310	199.12
1.33	256	371	314	199.12
1.36	265	380	320	199.12
1.39	270	389	326	199.12
1.42	276	398	332	199.12
1.45	279	407	338	199.12
1.48	282	416	344	199.12
1.51	284	424	350	24.18
1.54	288	420	351	11.68
1.57	291	418	351	11.68
1.6	294	416	352	11.68
1.62	297	414	352	11.68
1.65	299	414	352	11.68
1.68	300	413	353	11.68
1.71	300	413	353	11.68
1.74	300	412	353	11.68
1.77	300	412	354	11.68
1.8	300	413	354	11.68
1.83	298	414	354	11.68
1.86	298	415	355	11.68
1.89	297	418	355	11.68
1.91	296	419	355	11.68
1.94	293	424	356	11.68
1.97	290	429	356	21.43
2	288	435	357	157.97
2.03	296	434	361	157.97
2.06	306	433	366	157.97
2.09	313	434	371	157.97
2.12	321	436	376	157.97
2.15	324	437	380	157.97
2.18	330	439	385	157.97
2.2	331	440	388	157.97
2.23	335	444	393	157.97
2.26	337	448	398	157.97
2.29	339	453	402	157.97
2.32	341	456	407	157.97
2.35	341	460	412	157.97
2.38	340	464	417	157.97
2.41	339	470	421	157.97
2.44	339	475	426	157.97
2.47	337	482	431	157.97
2.49	336	487	434	186.26
2.52	343	492	440	205.12
2.55	354	496	446	205.12
2.58	366	500	452	205.12
2.61	377	504	458	205.12
