depth	min95%	max95%	best	acc.rate
0.03	-41	11	-29	177.01
0.06	-35	16	-23	176.99
0.09	-30	21	-18	176.97
0.12	-25	26	-13	176.94
0.15	-19	31	-8	176.91
0.17	-16	34	-4	176.87
0.2	-10	39	1	176.82
0.23	-5	44	7	176.76
0.26	0	49	12	176.69
0.29	5	54	17	176.61
0.32	11	59	22	176.53
0.35	16	64	28	176.44
0.38	21	69	33	176.35
0.41	27	73	38	176.24
0.44	32	78	44	176.15
0.46	35	82	47	176.05
0.49	41	87	52	175.93
0.52	46	92	58	175.8
0.55	51	97	63	175.66
0.58	56	102	68	175.52
0.61	61	107	74	175.37
0.64	66	111	79	175.21
0.67	72	117	84	175.05
0.7	77	122	89	174.88
0.73	82	127	95	174.73
0.75	86	130	98	174.58
0.78	91	135	103	174.39
0.81	96	140	109	174.19
0.84	101	145	114	173.99
0.87	106	150	119	173.78
0.9	111	155	124	173.56
0.93	117	159	129	173.34
0.96	122	164	135	173.11
0.99	127	169	140	172.95
1.02	132	174	145	172.67
1.04	136	177	148	172.47
1.07	141	182	154	172.21
1.1	146	187	159	171.96
1.13	151	192	164	171.7
1.16	156	197	169	171.43
1.19	161	202	174	171.16
1.22	166	207	179	170.88
1.25	171	212	184	170.6
1.28	176	217	190	170.32
1.31	181	221	195	170.08
1.33	185	225	198	169.83
1.36	190	229	203	169.53
1.39	195	234	208	169.23
1.42	200	239	213	168.92
1.45	205	244	218	168.61
1.48	210	249	223	168.29
1.51	215	254	229	167.97
1.54	220	259	234	167.65
1.57	225	263	239	167.32
1.6	230	268	244	167.04
1.62	233	271	247	166.77
1.65	238	276	252	166.43
1.68	243	281	257	166.09
1.71	248	286	262	165.75
1.74	252	290	267	165.4
1.77	257	295	272	165.05
1.8	262	300	277	164.7
1.83	267	305	282	164.34
1.86	272	309	287	163.98
1.89	277	314	292	163.68
1.91	280	317	295	163.37
1.94	285	322	300	163
1.97	290	326	305	162.63
2	295	331	310	162.26
2.03	300	336	314	161.88
2.06	304	340	319	161.5
2.09	309	345	324	161.11
2.12	314	350	329	160.73
2.15	319	354	334	160.34
2.18	324	359	339	160.01
2.2	327	362	342	159.68
2.23	332	367	347	159.29
2.26	336	371	351	158.89
2.29	341	376	356	158.49
2.32	346	380	361	158.08
2.35	350	385	366	157.67
2.38	355	389	370	157.26
2.41	360	394	375	156.85
2.44	364	399	380	156.44
2.47	369	403	384	156.09
2.49	372	406	388	155.74
