depth	min95%	max95%	best	acc.rate
0.03	-54	-48	-51	141.23
0.06	-50	-44	-47	141.23
0.09	-46	-39	-43	141.23
0.12	-42	-35	-38	141.23
0.15	-38	-31	-34	141.23
0.17	-35	-28	-31	141.23
0.2	-31	-23	-27	141.23
0.23	-27	-19	-23	141.23
0.26	-23	-15	-19	141.23
0.29	-19	-11	-14	141.23
0.32	-15	-6	-10	141.23
0.35	-11	-2	-6	141.23
0.38	-7	3	-2	141.23
0.41	-3	7	3	141.23
0.44	1	12	7	141.23
0.46	4	15	10	141.23
0.49	8	19	14	141.23
0.52	12	23	18	141.23
0.55	16	28	22	141.23
0.58	20	32	27	141.23
0.61	24	37	31	141.23
0.64	29	42	35	141.23
0.67	33	46	39	141.23
0.7	37	50	44	141.23
0.73	41	55	48	141.23
0.75	43	58	51	141.23
0.78	47	62	55	141.23
0.81	51	66	59	141.23
0.84	55	71	63	141.23
0.87	59	75	68	141.23
0.9	64	80	72	141.23
0.93	68	84	76	141.23
0.96	72	89	80	141.23
0.99	76	93	85	141.23
1.02	80	98	89	141.23
1.04	83	100	92	141.23
1.07	87	105	96	141.23
1.1	91	110	100	141.23
1.13	95	114	104	141.23
1.16	99	119	109	141.23
1.19	103	123	113	141.23
1.22	107	128	117	141.23
1.25	111	132	121	141.23
1.28	115	136	126	141.23
1.31	119	141	130	141.23
1.33	122	144	133	141.23
1.36	126	148	137	141.23
1.39	130	153	141	141.23
1.42	134	157	145	141.23
1.45	138	162	150	141.23
1.48	142	166	154	141.23
1.51	146	171	158	141.23
1.54	150	175	162	141.23
1.57	154	180	166	141.23
1.6	158	184	171	141.23
1.62	161	187	174	141.23
1.65	165	192	178	141.23
1.68	169	196	182	141.23
1.71	173	201	186	141.23
1.74	177	205	190	141.23
1.77	181	210	195	141.23
1.8	186	214	199	141.23
1.83	190	219	203	141.23
1.86	194	223	207	141.23
1.89	198	228	212	141.23
1.91	200	231	214	141.23
1.94	204	235	219	141.23
1.97	208	240	223	141.23
2	212	244	227	141.23
2.03	217	249	231	141.23
2.06	221	253	236	141.23
2.09	225	258	240	141.23
2.12	229	262	244	141.23
2.15	233	267	248	141.23
2.18	237	271	253	141.23
2.2	239	274	255	141.23
2.23	243	279	260	141.23
2.26	247	283	264	141.23
2.29	252	288	268	141.23
2.32	256	292	272	141.23
2.35	260	297	277	141.23
2.38	264	301	281	141.23
2.41	268	306	285	141.23
2.44	272	310	289	141.23
2.47	276	315	294	141.23
2.49	279	318	296	141.23
2.52	283	322	301	141.23
2.55	287	326	305	141.23
2.58	291	331	309	141.23
2.61	295	335	313	141.23
2.64	299	340	318	141.23
2.67	303	344	322	141.23
2.7	307	349	326	141.23
2.73	311	353	330	141.23
2.76	315	358	335	141.23
2.78	318	361	337	141.23
2.81	322	365	342	141.23
2.84	326	370	346	141.23
2.87	330	374	350	141.23
2.9	334	378	354	141.23
2.93	338	383	359	141.23
2.96	342	387	363	141.23
2.99	346	392	367	141.23
3.02	350	396	371	141.23
3.05	354	401	375	141.23
3.07	357	404	378	141.23
3.1	361	408	383	141.23
3.13	365	413	387	141.23
3.16	369	417	391	141.23
3.19	373	422	395	141.23
3.22	377	426	399	141.23
3.25	381	431	404	141.23
3.28	385	435	408	141.23
3.31	389	440	412	141.23
3.34	393	444	416	141.23
3.36	396	447	419	141.23
3.39	400	452	423	141.23
3.42	404	456	428	141.23
3.45	408	461	432	141.23
3.48	412	465	436	141.23
3.51	416	470	440	141.23
3.54	420	474	445	141.23
3.57	424	479	449	141.23
3.6	428	483	453	141.23
3.63	432	488	457	141.23
3.65	435	491	460	141.23
3.68	439	495	464	141.23
3.71	443	500	469	141.23
3.74	447	504	473	141.23
3.77	451	508	477	141.23
3.8	455	513	481	141.23
3.83	459	517	486	141.23
3.86	463	522	490	141.23
3.89	467	526	494	141.23
3.92	471	531	498	141.23
3.94	474	534	501	141.23
3.97	478	538	505	141.23
4	482	543	510	141.23
4.03	486	547	514	141.23
