depth,d15N,d13C
0.03,9.24,-16.91
0.06,9.24,-16.84
0.09,9.63,-16.91
0.12,8.88,-16.4
0.15,9.34,-16.82
0.17,9.35,-16.62
0.20,9.5,-16.99
0.23,10.16,-16.51
0.26,9.1,-16.62
0.29,9.15,-16.73
0.32,9.13,-16.3
0.35,9.67,-16.27
0.38,9.01,-16.25
0.41,9.2,-16.22
0.44,9.43,-15.96
0.46,8.88,-16.24
0.49,8.74,-15.75
0.52,9.42,-15.37
0.55,8.41,-15.56
0.58,8.58,-16.15
0.61,8.6,-15.68
0.64,9.12,-15.79
0.67,8.32,-15.59
0.70,8.44,-16.05
0.73,8.38,-15.84
0.75,8.54,-15.56
0.78,8.65,-15.53
0.81,9.61,-15.22
0.84,8.14,-15.7
0.87,8.51,-15.29
0.90,8.49,-15.52
0.93,8.08,-15.09
0.96,8.28,-15.01
0.99,8.03,-15.34
1.02,8.45,-15.31
1.04,8.21,-15.56
1.07,9.19,-15.25
1.10,8.54,-15.33
1.13,7.97,-15.26
1.16,8.51,-15.31
1.19,8.62,-15.17
1.22,8.79,-15.6
1.25,8.79,-15.11
1.28,8.58,-15.41
1.31,7.94,-15.47
1.33,8.42,-15.39
1.36,8.6,-15.13
1.39,8.64,-15.22
1.42,7.79,-15.4
1.45,8.29,-15.64
1.48,8.17,-15.4
1.51,8.37,-15.51
1.54,8.65,-15.51
1.57,8.04,-15.4
1.60,8.5,-15.42
1.62,8.19,-15.33
1.65,8.25,-15.82
1.68,8.97,-15.58
1.71,8.52,-15.8
1.74,8.97,-15.59
1.77,9.54,-15.7
1.80,8.42,-15.46
1.83,7.6,-15.66
1.86,8.24,-15.45
1.89,8.51,-15.52
1.91,8.86,-15.35
1.94,8.29,-15.38
1.97,7.85,-16.05
2.00,7.66,-15.84
2.03,8.25,-15.71
2.06,7.72,-15.73
2.09,7.68,-15.53
2.12,8.68,-15.6
2.15,8.24,-15.58
2.18,8.27,-15.59
2.20,8.56,-15.39
2.23,8.73,-15.15
2.26,8.56,-15.12
2.29,8.44,-15.14
2.32,8.31,-15.65
2.35,8.53,-15.41
2.38,9.15,-15.29
2.41,8.34,-15.55
2.44,8.19,-15.5
2.47,8.99,-15.43
2.49,8.41,-15.62
2.52,8.72,-15.5
2.55,8.35,-15.57
2.58,8.12,-15.43
2.61,8.29,-15.64
2.64,8.43,-15.5
2.67,9.36,-15.14
2.70,8.28,-15.56
2.73,8.79,-15.64
2.76,8.98,-15.64
2.78,8.81,-15.51
2.81,8.58,-15.42
2.84,8.66,-15.75
2.87,8.8,-15.58
2.90,8.73,-15.5
2.93,9.44,-15.01
2.96,9.18,-15.56
2.99,7.96,-15.58
3.02,8.98,-15.6
3.05,8.32,-15.68
3.07,9.07,-15.82
3.10,8.92,-15.54
3.13,8.73,-15.35
3.16,9.17,-15.39
3.19,8.48,-15.15
3.22,8.44,-15.78
3.25,8.68,-15.13
3.28,8.82,-15.55
3.31,8.49,-15.31
3.34,8.65,-15.55
3.36,8.6,-15.72
3.39,7.83,-15.84
3.42,8.68,-15.82
3.45,8.75,-15.86
3.48,8.83,-15.64
3.51,9.02,-15.56
3.54,8.91,-15.57
3.57,8.35,-15.73
3.60,8.34,-15.65
3.63,8.69,-15.21
3.65,9.12,-15.4
3.68,8.16,-15.84
3.71,8.88,-15.64
3.74,8.51,-15.19
3.77,7.75,-16.1
3.80,9.08,-15.77
3.83,9.14,-15.64
3.86,8.9,-15.75
3.89,8.67,-15.77
3.92,8.71,-15.57
3.94,8.82,-15.79
3.97,8.78,-15.5
4.00,9.49,-15.43
4.03,8.68,-14.9
4.06,8.53,-15.86
4.09,8.21,-15.58
4.12,8.89,-15.72
4.15,8.09,-15.94
4.18,8.77,-15.62
4.21,8.28,-15.73
4.23,8.45,-15.53
4.26,8.4,-15.38
4.29,8.27,-15.67
4.32,8.7,-15.55
4.35,8.63,-15.52
4.38,8.51,-15.52
4.41,9.18,-15.46
4.44,8.39,-15.86
4.47,8.72,-15.45
4.50,8.42,-15.57
4.52,8.72,-15.56
4.55,8.7,-15.4
4.58,8.75,-15.83
4.61,8.27,-15.53
4.64,9.01,-15.51
4.67,7.71,-15.87
4.70,8.63,-15.33
4.73,8.56,-15.28
4.76,7.82,-16
4.79,7.84,-15.53
4.81,8.05,-15.49
4.84,8.24,-15.38
4.87,8.31,-15.38
4.90,8.32,-15.51
4.93,8.19,-15.72
4.96,8.11,-15.83
4.99,8.28,-15.71
5.02,7.8,-16
5.05,8.15,-15.5
5.08,7.93,-15.83
5.10,8.32,-15.6
5.13,7.87,-15.74
5.16,8.71,-15.6
5.19,8.47,-15.35
5.22,8.93,-15.34
5.25,7.65,-15.91
5.28,8.29,-15.65
5.31,8.4,-15.91
5.34,8.47,-15.72
5.37,8.58,-15.78
5.39,8.35,-15.44
5.42,8.04,-15.31
5.45,8.76,-15.32
5.48,9.07,-14.92
5.51,8.02,-15.34
5.54,8.21,-15.6
5.57,8.28,-15.13
5.60,8.73,-15.49
5.63,8.42,-15.35
5.66,8.96,-15.44
5.68,8.62,-15.58
5.71,8.79,-15.74
5.74,8.89,-15.46
5.77,7.68,-15.34
5.80,8.22,-15.62
5.83,8.84,-15.23
5.86,8.7,-15.41
5.89,7.52,-15.18
5.92,8.31,-15.42
5.95,8.5,-15.37
5.97,8.35,-15.67
6.00,8.76,-15.64
6.03,8.28,-14.91
6.06,8.43,-15.54
6.09,7.28,-15.46
6.12,8.03,-15.66
6.15,7.65,-15.45
6.18,7.9,-14.98
6.21,8.1,-15.65
6.24,7.52,-15.81
6.26,8.61,-15.56
6.29,8.81,-15.14
6.32,8.42,-15.5
6.35,8.13,-15.92
6.38,8.26,-15.5
6.41,8.19,-15.19
6.44,8.37,-15.26
6.47,8.27,-15.43
6.50,7.93,-15.63
6.53,8.22,-15.68
6.55,8.99,-15.21
6.58,8.44,-15.44
6.61,8.78,-14.61
6.64,8.42,-14.56
6.67,7.66,-14.99
6.70,7.59,-15.67
6.73,7.7,-15.48
6.76,8.09,-15.7
6.79,7.84,-15.64
6.82,7.77,-15.69
6.84,7.87,-15.75
6.87,7.59,-15.83
6.90,7.59,-15.7
6.93,8.01,-15.63
6.96,7.58,-15.71
6.99,7.63,-15.78
7.02,7.67,-15.95
7.05,7.84,-15.71
7.08,7.59,-15.4
7.11,7.23,-15.3
7.13,7.25,-15.26
7.16,7.33,-15.58
7.19,7.71,-15.78
7.22,8.06,-15.41
7.25,7.83,-15.34
7.28,7.66,-15.43
7.31,7.93,-15.74
7.34,7.79,-15.87
7.37,7.55,-16.1
7.40,7.65,-15.86
7.42,7.54,-15.77
7.45,7.92,-15.77
7.48,7.78,-16.01
7.51,8,-15.73
7.54,7.33,-15.95
7.57,7.8,-15.62
7.60,8.27,-15.51
7.63,7.86,-15.61
7.66,7.91,-14.91
