# Florida Straits KNR166–2JPC51 9000 Year d18O, Mg/Ca SST, and d18Osw Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# plus the Online Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/13608
#
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/schmidt2012/schmidt2012.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Paleoceanography
#--------------------
# Contribution_Date
#	Date: 2012-12-12
#--------------------
# Title
#	Study_Name: Florida Straits KNR166–2JPC51 9000 Year d18O, Mg/Ca SST, and d18Osw Data
#--------------------
# Investigators
#	Investigators: Schmidt, M.W.; Weinlein, W.A.; Marcantonio, F.; Lynch-Stieglitz, J.
#--------------------
# Description_and_Notes
#
# High resolution (~25 year) Holocene d18O, Mg/Ca-paleothermometry, and reconstructed d18OSW measurements on the planktonic foraminifera Globigerinoides ruber (white variety) from Florida Straits.
#
#--------------------
# Publication
#	Authors: Matthew W. Schmidt, William A. Weinlein, Franco Marcantonio, and Jean Lynch-Stieglitz.
#       Published_Date_or_YEAR: 2012-07-19
#	Published_Title: Solar forcing of Florida Straits surface salinity during the early Holocene
#	Journal_Name: Paleoceanography
#	Volume: 27
#	Issue: PA3204
#	Pages:
#	DOI: 10.1029/2012PA002284
#	Abstract: Previous studies showed that sea surface salinity (SSS) in the Florida Straits as well as Florida Current transport covaried with changes in North Atlantic climate over the past two millennia. However, little is known about earlier Holocene hydrographic variability in the Florida Straits. Here, we combine Mg/Ca-paleothermometry and stable oxygen isotope measurements on the planktonic foraminifera Globigerinoides ruber (white variety) from Florida Straits sediment core KNR166-2 JPC 51 (24 deg 24.70'N, 83 deg 13.14'W, 198 m deep) to reconstruct a high-resolution (~25 yr/sample) early to mid Holocene record of sea surface temperature and d18OSW (a proxy for SSS) variability. After removing the influence of global d18OSW change due to continental ice volume variability, we find that early Holocene SSS enrichments are associated with increased evaporation/precipitation ratios in the Florida Straits during periods of reduced solar forcing, increased ice rafted debris in the North Atlantic and the development of more permanent El Niño-like conditions in the eastern equatorial Pacific. When considered with previous high-resolution reconstructions of Holocene tropical atmospheric circulation changes, our results provide evidence that variations in solar forcing over the early Holocene had a significant impact on the global tropical hydrologic cycle.
#
#---------------------
# Funding_Agency
#	Funding_Agency_Name: US National Science Foundation
#	Grant: OCE-0823498
#---------------------
# Site_Information
#       Site_Name: KNR166–2JPC51
#	Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico
#	Country:
#	Northernmost_Latitude: 24.4117
# 	Southernmost_Latitude: 24.4117
# 	Easternmost_Longitude: -83.219
# 	Westernmost_Longitude: -83.219
# 	Elevation: -198 m
#------------------
# Data_Collection
#	Core_Name: KNR166–2JPC51schmidt2012
#	First_Year: 9149
#	Last_Year: 1488
#	Time_Unit: calYrBP
#	Core_Length: 5.545
#	Notes:
#------------------
# Chronology
#
# Table 1. AMS 14C and Calendar Ages
#
# Core	Depth (cm)	CAMS#	14C Age	Error(years)	Cal.Age (KyrsBP)	Error(years)
# JPC51	5.25	40017	1940	40	1.49	110
# JPC51	159.25	49009	4040	45	4.07	146
# JPC51	312.25	40018	5970	60	6.4	131
# JPC51	394.5	76076	6880	40	7.39	87
# JPC51	480.25	40019	7520	70	7.99	152
# JPC51	494.5	76077	7610	35	8.07	90
# JPC51	632.25	40020	9690	75	10.56	194
#
#------------------
# Variables
#
# End Description/Documentation (lines begin with #)
# Data lines follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: material, error, units, anomaly, period, archive, detail, method, C or N for Character or Numeric data)
# Data line format: tab-delimited text, variable short name as header
## depth_cm	Depth (cm), , , cm, , , , , N
## age_calkaBP	Age (calendar ka BP), , ,cal kyr BP, , , , N
## d18Ovg.rub-w250-355	delta 18O Globigerinoides ruber white 250-355 micron (per mil VPDB), , , per mil VPDB, , , , , N
## Mg/Ca-g.rub-w	Magnesium/Calcium Globigerinoides ruber white (mmol/mol), , , mmol/mol, , , , , N
## sst	Sea Surface Temperature (C), , , C, , , , , N
## d18Osw-g.rub-w	delta 18O seawater Globigerinoides ruber white (per mil SMOW), , , per mil SMOW, , , , , N
## d18Osw-ivc-g.rubw	delta 18O seawater Globigerinoides ruber white corrected for ice volume (per mil SMOW), , , per mil SMOW, , , , , N
#------------------------
# Data:
# Missing Value: 
depth_cm	age_calkaBP	d18Ovg.rub-w250-355	Mg/Ca-g.rub-w	sst	d18Osw-g.rub-w	d18Osw-ivc-g.rubw
5.25	1.488	-1.61	4.346	27.1	0.86	0.86
8.25	1.538	-1.50	4.377	27.2	0.99	0.99
16.25	1.671	-1.67	4.504	27.5	0.89	0.89
24.25	1.805	-1.33	4.793	28.2	1.37	1.37
32.25	1.938	-1.69	4.804	28.2	1.01	1.01
40.25	2.072	-1.60	4.825	28.2	1.11	1.11
48.25	2.205	-1.88	4.535	27.5
56.25	2.339	-1.62	4.758	28.1	1.06	1.06
64.25	2.473	-1.84	4.612	27.7	0.77	0.77
72.25	2.606	-1.98	4.596	27.7	0.62	0.62
80.25	2.740	-1.60	4.811	28.2
88.25	2.873	-2.00	4.532	27.5	0.57	0.57
96.25	3.007	-1.43	4.738	28.0
104.25	3.140	-1.92	4.396	27.2	0.58	0.58
112.25	3.274	-1.89	4.736	28.0	0.78	0.78
120.25	3.408	-1.91	5.007	28.6	0.89	0.89
128.25	3.541	-1.76	4.937	28.5	1.01	1.01
143.25	3.792	-1.64	4.711	28.0	1.02	1.02
151.25	3.933	-1.87
159.25	4.067	-1.86	4.985	28.6	0.93	0.93
167.25	4.189	-1.43	4.924	28.5	1.33	1.33
176.25	4.319	-1.40	5.062	28.8	1.43	1.43
184.25	4.441	-1.88	4.860	28.3	0.85	0.85
192.25	4.563	-1.70	4.693	27.9	0.95	0.96
200.25	4.686	-1.76	4.767	28.1	0.92	0.93
208.25	4.808	-1.83	4.446	27.3	0.69	0.70
216.25	4.930	-1.76	4.809	28.2	0.94	0.95
224.25	5.052	-1.97	4.774	28.1	0.72	0.73
232.25	5.174	-1.80	4.529	27.5	0.77	0.78
240.25	5.296	-1.75	4.803	28.2	0.95	0.96
248.25	5.419	-1.69	4.712	28.0	0.97	0.98
256.25	5.541	-1.92	5.180	29.0	0.96	0.97
264.25	5.663	-1.57	5.131	28.9	1.29	1.30
272.25	5.785	-1.70	4.903	28.4	1.05	1.06
280.25	5.907	-1.71	4.937	28.5	1.06	1.06
288.25	6.029	-1.52	5.236	29.1	1.39	1.40
296.25	6.152	-1.81	4.866	28.3	0.93	0.93
300.5	6.213	-1.66	4.957	28.5	1.12	1.12
302.5	6.243	-1.88	4.690	27.9	0.77	0.77
304.25	6.274	-2.05	5.135	28.9	0.81	0.81
306.5	6.304	-1.61	4.633	27.8	1.01	1.01
308.5	6.335	-1.62	4.800	28.2	1.08	1.08
310.5	6.365	-1.54	4.765	28.1	1.15	1.15
312.25	6.396	-1.56	4.911	28.4	1.20	1.20
314.5	6.420	-1.88	4.689	27.9	0.77	0.77
316.5	6.444	-1.50	4.673	27.9	1.14	1.14
318.5	6.469	-1.98	4.983	28.6	0.81	0.81
320.25	6.493	-1.38	5.111	28.9	1.47	1.47
322.5	6.517	-1.71	4.872	28.3	1.03	1.03
324.5	6.541	-1.82	4.734	28.0	0.85	0.85
326.5	6.566	-1.68	5.065	28.8	1.15	1.15
328.25	6.590	-1.59	4.742	28.0	1.09	1.08
330.5	6.614	-2.04	4.726	28.0	0.62	0.61
332.5	6.638	-1.86	4.557	27.6	0.73	0.72
334.5	6.662	-1.32	5.105	28.9	1.53	1.52
336.25	6.687	-1.91	4.804	28.2	0.79	0.78
338.5	6.711	-1.61	4.639	27.8	1.02	1.00
340.5	6.735	-1.82	4.718	28.0	0.85	0.83
342.5	6.759	-1.60	4.763	28.1	1.09	1.07
344.25	6.784	-1.66	4.745	28.1	1.02	1.00
346.5	6.808	-1.68	4.543	27.6	0.90	0.88
348.5	6.832	-1.66	4.487	27.4	0.88	0.85
350.5	6.856	-1.82	4.811	28.2	0.89	0.86
352.25	6.880	-1.66	4.898	28.4	1.09	1.06
354.5	6.905	-1.91	4.293	26.9	0.53	0.50
356.5	6.929	-1.83	4.710	28.0	0.83	0.80
358.5	6.953	-1.86	4.542	27.6	0.72	0.68
360.25	6.977	-1.82	4.339	27.1	0.65	0.61
362.5	7.001	-1.73	4.296	26.9	0.72	0.68
364.5	7.026	-1.83	4.253	26.8	0.59	0.55
366.5	7.050	-1.47	4.412	27.2	1.04	1.00
368.25	7.074	-1.94	5.103	28.9	0.90	0.86
370.25	7.098	-1.78	4.734	28.0	0.89	0.84
372.25	7.123	-1.66	4.554	27.6	0.93	0.88
374.5	7.147	-1.80	4.471	27.4	0.74	0.69
376.25	7.171	-1.58	4.684	27.9	1.07	1.02
378.5	7.195	-1.85	4.940	28.5	0.92	0.86
380.5	7.219	-1.67	5.008	28.7	1.13	1.07
382.5	7.244	-1.67	4.582	27.7	0.92	0.86
384.25	7.268	-1.85	4.874	28.3	0.89	0.83
386.5	7.292	-1.66	5.064	28.8	1.17	1.11
388.5	7.316	-1.91	4.543	27.6
390.5	7.341	-1.45	4.698	27.9	1.21	1.15
