Sample,ID,Site,d15N,Depth (m),,,
7,6a,JAX (Jacksonville),5.78,312,,,
8,7a,JAX (Jacksonville),,251,,,
9,8a,JAX (Jacksonville),5.39,201,,,
9 rep,8a,JAX (Jacksonville),5.66,100,,,
10,9a,JAX (Jacksonville),6.53,5,,,
11,11a,CHB  (Stetson),5.56,385,,,
12,12a,CHB  (Stetson),5.61,185,,,
13,13a,CHB  (Stetson),5.99,85,,,
14,16a,SAV (Savannah deep),5.78,781,,,
31,AT41-CTD05-N3,Stetson Deep,5.42,786,,,
32,AT41-CTD05-N5,Stetson Deep,5.95,750,,,
33,AT41-CTD05-N7,Stetson Deep,5.72,701,,,
34,AT41-CTD05-N9,Stetson Deep,5.01,600,,,
34 rep,AT41-CTD05-N9,Stetson Deep,4.82,600,,,
35,AT41-CTD05-N11,Stetson Deep,4.37,499,,,
36,AT41-CTD05-N13,Stetson Deep,3.35,400,,,
37,AT41-CTD05-N15,Stetson Deep,4.00,300,,,
46,AT41-CTD010-N3,Stetson Banks,5.56,553,,,
47,AT41-CTD010-N5,Stetson Banks,5.60,501,,,
48,AT41-CTD010-N7,Stetson Banks,5.28,450,,,
49,AT41-CTD010-N9,Stetson Banks,5.67,400,,,
50,AT41-CTD010-N11,Stetson Banks,5.43,299,,,
51,AT41-CTD010-N13,Stetson Banks,5.30,250,,,
52,AT41-CTD010-N15,Stetson Banks,4.61,200,,,
53,AT41-CTD010-N17,Stetson Banks,4.33,150,,,
54,AT41-CTD010-N19,Stetson Banks,5.23,99,,,
54 rep,AT41-CTD010-N19,Stetson Banks,4.95,99,,,
55,AT41-CTD011-N3,Stetson Banks II,5.04,460,,,
56,AT41-CTD011-N5,Stetson Banks II,5.39,400,,,
57,AT41-CTD011-N7,Stetson Banks II,5.38,350,,,
58,AT41-CTD011-N9,Stetson Banks II,5.72,300,,,
59,AT41-CTD011-N11,Stetson Banks II,5.05,250,,,
60,AT41-CTD011-N13,Stetson Banks II,4.25,200,,,
61,AT41-CTD011-N15,Stetson Banks II,4.46,150,,,
62,AT41-CTD013-N3,Blake Ridge,4.91,2267,,,
62 rep,AT41-CTD013-N3,Blake Ridge,4.85,98,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
