Site ,Date,Niskin #,Pressure (Depth),Sample ,Phosphate,Silicate,N+N,Ammonia,N*
Pea Island Seep,8/20/2018,3,438,CTD01-N3,1.175434614,9.291720428,13.91661726,0.203400445,-1.990336562
Pea Island Seep,8/20/2018,3,758,CTD02-N3,1.211386572,11.54444361,18.78542364,0.143071332,2.303238483
Stetson Deep,8/23/2018,3,786,CTD05-N3,1.323946007,12.15903511,20.45407431,0.074149527,2.170938202
Stetson Deep,8/23/2018,5,750,CTD05-N5,1.58301433,12.44379694,23.59384972,0.264330445,1.165620446
Stetson Deep,8/23/2018,7,701,CTD05-N7,1.36660403,11.5611354,21.91107711,0.091995888,2.945412631
Stetson Deep,8/23/2018,9,600,CTD05-N9,1.082527674,8.065541966,19.91173795,0.189399764,5.491295161
Stetson Deep,8/23/2018,11,499,CTD05-N11,0.589771621,3.690959181,10.91516433,0.73031876,4.378818386
Stetson Deep,8/23/2018,13,400,CTD05-N13,0.226200455,1.345095839,4.341406671,<0.019,3.622199384
Stetson Deep,8/23/2018,15,300,CTD05-N15,0.13580829,1.221242801,2.757306514,<0.019,3.484373868
Stetson Deep,8/23/2018,17,200,CTD05-N17,0.110846827,0.74419161,1.739622419,<0.019,2.866073188
Stetson Deep,8/23/2018,19,139.5,CTD05-N19,0.032516265,0.527198416,0.425649405,<0.019,2.805389172
Stetson Deep,8/23/2018,21,100,CTD05-N21,0.043925889,0.865707799,0.138956154,0.300984587,2.336141935
Stetson Deep,8/23/2018,22,26.1,CTD05-N22,0.023900834,0.662735704,0.130356262,0.048731982,2.647942917
Stetson Deep,8/23/2018,24,2.7,CTD05-N234,0.033773652,0.7001253,0.275739704,0.601308197,2.635361277
Blake Escarpment,8/25/2018,3,1280,CTD08-N3,1.144186214,11.31877069,18.27096903,0.053539083,2.863989597
Blake Escarpment,8/25/2018,5,1230,CTD08-N5,1.233693551,11.42760113,17.70274246,0.161458492,0.863645637
Blake Escarpment,8/25/2018,7,1180,CTD08-N7,1.219862293,11.62857021,18.27766789,<0.019,1.659871205
Blake Escarpment,8/25/2018,9,1000,CTD08-N9,1.34476275,11.87527478,20.12700683,0.277009173,1.510802835
Blake Escarpment,8/25/2018,11,800,CTD08-N11,1.349466309,11.68565611,22.72136802,0.888412281,4.029907072
Blake Escarpment,8/25/2018,13,600,CTD08-N13,0.457745971,2.493156751,4.811775516,0.098004764,0.387839987
Blake Escarpment,8/25/2018,15,400,CTD08-N15,0.335732847,2.046484608,6.109182422,<0.019,3.637456868
Blake Escarpment,8/25/2018,17,250,CTD08-N17,0.127611989,1.111077025,2.233075186,0.096622722,3.091283362
Blake Escarpment,8/25/2018,19,200,CTD08-N19,0.106702106,0.905768081,1.839924321,0.725752014,3.032690619
Blake Escarpment,8/25/2018,21,93,CTD08-N21,0.031491727,0.477790735,0.128817334,0.056904053,2.524949704
Blake Escarpment,8/25/2018,22,25,CTD08-N22,0.0344722,0.985888644,0.077942182,0.120357781,2.42638698
Blake Escarpment,8/25/2018,24,3,CTD08-N24,0.026182759,0.74419161,0.176524105,0.374713492,2.657599962
