,Sample ID ,Sample ID 2,Bulk,Ala,Gly,Ser,Pro,Asp,Glu,Thr,Val,Leu,Ile,Phe,Lys,Year,Region
T1104_A07_Peel 9,A7 9,Isidella,-15.88570675,-16.40677193,-18.27162069,-10.10972469,-5.2805,-5.571131313,-16.85842281,-11.8276596,-36.6912,-25.73666364,-17.70357273,-22.18569792,-29.02274928,1982.611197,Coastal California
T1104_A07_Peel 13,A7 13,Isidella,-16.2203162,-17.53396491,-16.46817241,-7.449230864,-0.003833333,-16.71254545,-16.96982632,-11.58826566,-36.92453333,-26.48817879,-17.8193303,-22.43309375,-29.54738696,1973.434283,Coastal California
T1104_A07_Peel 15,A7 15,Isidella,-16.31025433,-21.02168421,-17.36012644,-11.14058889,3.8095,-2.856989899,-16.41105439,-12.80341717,-38.16853333,-26.0433303,-19.15023939,-23.02632292,-27.33216957,1963.47915,Coastal California
T1104_A07_Peel 16,A7 16,Isidella,-15.81761996,-19.33308772,-16.73024138,-4.815897531,-17.7945,-15.63678788,-15.68122982,-13.73675051,-37.24653333,-25.1172697,-17.96236061,-14.92007292,-30.45101014,1962.409433,Coastal California
T1104_A07_Peel 18,A7 18,Isidella,-15.53943615,-19.36115789,-16.12794253,-8.601082716,2.4655,-2.325676768,-17.09000175,-13.5337202,-37.27653333,-25.79605758,-18.30417879,-22.33934375,-18.50608261,1959.123685,Coastal California
T1104_A07_Peel 19,A7 19,Isidella,-15.73232426,-15.16378947,-13.66932184,-1.583798765,7.118166667,-17.77315152,-16.91544035,-11.49836667,-34.4212,-22.47242121,-17.3163,-17.71642708,-28.95934348,1957.69037,Coastal California
T1104_A07_Peel 20,A7 20,Isidella,-15.98924955,-17.85326316,-12.78311494,,-16.56783333,1.029878788,-14.99526491,-15.22664949,-37.2532,-25.15363333,-18.73205758,-18.21694792,-29.53144493,1955.661921,Coastal California
T1104_A07_Peel 23,A7 23,Isidella,-15.84042736,-20.75852632,-18.06472414,-9.380095062,3.268833333,-0.612545455,-16.32333509,-14.97513434,-38.73986667,-26.17302727,-18.9193303,-22.57580208,-23.52274928,1952.495063,Coastal California
T1104_A07_Peel 30&31,A7 30.5,Isidella,-15.8849129,-20.84536842,-21.94978161,-8.624539506,9.2615,-16.78527273,-16.67070351,-20.91250808,-40.6352,-23.89484545,-18.73569394,-21.43361458,-23.85282174,,Coastal California
T1104_A07_Peel 34&35,A7 34.5,Isidella,-16.07989729,-20.33835088,-20.49805747,-8.324539506,11.5975,-18.06911111,-16.04877368,-19.5347303,-39.5412,-24.30393636,-19.36720909,-16.32996875,-18.76912609,,Coastal California
T1104 A2-1,A2 1,Isidella,,-17.42882707,,-3.986461905,-21.64444286,-16.52774026,-15.10708195,-7.464210823,-20.12085714,-24.13785844,-16.27131299,-24.64528125,-19.71303913,,Coastal California
T1104 A2-2,A2 2,Isidella,,-17.19198496,,-4.290165608,-21.70844286,-16.23380087,-16.48471353,-7.717241126,-19.75285714,-24.14785844,-15.68949481,-23.9773125,-18.63912609,,Coastal California
T1104 A2-3,A2 3,Isidella,,-17.11698496,,-4.284610053,-22.00444286,-16.79137662,-16.34918722,-7.762695671,-20.61285714,-24.54785844,-16.97858571,-25.21559375,-18.62934348,,Coastal California
T1104 A11-1,A11 1,Isidella,,-17.13935338,,-5.59201746,-22.22544286,-17.0671342,-15.97287143,-8.432392641,-20.36885714,-24.75422208,-16.45676753,-23.835125,-17.79347391,,Coastal California
T1104 A11-2,A11 2,Isidella,,-16.47619549,,-4.714239683,-21.68844286,-16.3201645,-15.6386609,-6.736938095,-19.92085714,-24.4224039,-16.10313117,-23.32184375,-18.22716957,,Coastal California
T1104 A11-3,A11 3,Isidella,,-16.9117218,,-4.556832275,-22.05244286,-16.29440693,-15.73208195,-7.024816883,-20.58485714,-24.68149481,-17.18313117,-27.11403125,-16.91412609,,Coastal California
HJS2 2-1,HJS2 2-1,Sediment trap,,-15.67619549,,,-18.35644286,-12.73228571,-16.06760827,-11.19451385,-19.66685714,-24.97331299,-17.53222208,-25.132,-13.34456087,,Coastal California
HJS2 12-7,HJS2 12-7,Sediment trap,,-13.85645865,,,-18.80344286,-14.5171342,-15.21629248,-7.430877489,-17.98085714,-25.72694935,-17.81858571,-25.51715625,-12.68260435,,Coastal California
HJS2 9-6,HJS2 9-6,Sediment trap,,-15.08409023,,,-18.76244286,-13.99440693,-16.34918722,-9.615725974,-19.95085714,-24.71604026,-17.30131299,-23.9523125,-12.96086522,,Coastal California
HJS2 13-4,HJS2 13-4,Sediment trap,,-12.48803759,,12.65983439,-16.50544286,-12.0201645,-12.68602932,-7.142998701,-19.02985714,-23.31058571,-15.50767662,-22.2835625,-12.71086522,,Coastal California
HJS2 14-3,HJS2 14-3,Sediment trap,,-14.88540602,,8.132056614,-17.04344286,-17.91864935,-12.54655564,-9.270271429,-22.37385714,-24.92422208,-17.15131299,-24.14684375,-16.00977826,,Coastal California
HJS2 5-5,HJS2 5-5,Sediment trap,,-11.33145865,,,-17.02644286,-10.91864935,-14.49523985,-13.09905931,-19.96285714,-23.75876753,-15.64585844,-22.8179375,-10.45651739,,Coastal California
