Sample.ID,Ala,Asx,Glx,Ile,Leu,Pro,Val,Avg.Tr,Dev.Ala,Dev.Asx,Dev.Glx,Dev.Ile,Dev.Leu,Dev.Pro,Dev.Val,Sum.Chi,Sum.V,Trophic.Position,Phe,Gly,Ser,Tyr,Lys,,Avg.Src,Sample.ID2,Type,Region,Year.AD,Bulk.N
sav-4902-bc1_2,16.14,13.56,14.26,20.67,19.28,28.84,20.57,19.04571429,2.905714286,5.485714286,4.785714286,1.624285714,0.234285714,9.794285714,1.524285714,26.35428571,3.764897959,1.319736842,8.43,10.39,17.45,NA,NA,,12.09,Savannah Banks-4902,Black coral,Gulf Stream,1297,8.95
sav-4902-bc1_7,20.76,18.95,14.16,24.4,23.31,32.51,20.93,22.14571429,1.385714286,3.195714286,7.985714286,2.254285714,1.164285714,10.36428571,1.215714286,27.56571429,3.937959184,1.452631579,7.32,11.21,11.75,NA,NA,,10.09333333,Savannah Banks-4902,Black coral,Gulf Stream,1255,9.02
sav-4902-bc1_15,18.6,14.35,17.29,23.82,22.69,31.37,22.85,21.56714286,2.967142857,7.217142857,4.277142857,2.252857143,1.122857143,9.802857143,1.282857143,28.92285714,4.131836735,1.380263158,11,11.6,13.89,NA,NA,,12.16333333,Savannah Banks-4902,Black coral,Gulf Stream,1121,9.97
sav-4902-bc1_33,20.64,19.54,16.07,26.18,25.46,33.94,22.18,23.43,2.79,3.89,7.36,2.75,2.03,10.51,1.25,30.58,4.368571429,1,12.67,11.95,10.07,NA,NA,,11.56333333,Savannah Banks-4902,Black coral,Gulf Stream,903,9.77
sav-4902-bc1_61,21.57,18.74,16.09,23.82,26.26,34.11,22.05,23.23428571,1.664285714,4.494285714,7.144285714,0.585714286,3.025714286,10.87571429,1.184285714,28.97428571,4.139183673,1.223684211,10.99,11.06,11.75,NA,NA,,11.26666667,Savannah Banks-4902,Black coral,Gulf Stream,578,8.26
sav-4902-bc1_66,20.78,19.93,18.35,23.93,23.34,32.52,20.67,22.78857143,2.008571429,2.858571429,4.438571429,1.141428571,0.551428571,9.731428571,2.118571429,22.84857143,3.264081633,1.455263158,11.49,11.65,11.39,NA,NA,,11.51,Savannah Banks-4902,Black coral,Gulf Stream,540,8.18
sav-4902-bc1_115,19.92,20.54,18.07,23.37,23.09,33.48,20.37,22.69142857,2.771428571,2.151428571,4.621428571,0.678571429,0.398571429,10.78857143,2.321428571,23.73142857,3.390204082,1.768421053,8.83,13.01,14.23,NA,NA,,12.02333333,Savannah Banks-4902,Black coral,Gulf Stream,0,8.62
jack-4907-bc1_23,19.3,14.51,16.93,19.18,19.41,25.5,14.78,18.51571429,0.784285714,4.005714286,1.585714286,0.664285714,0.894285714,6.984285714,3.735714286,18.65428571,2.664897959,1.351315789,10.86,10.4,11.13,NA,NA,,10.79666667,Jacksonville-4907,Black coral,Gulf Stream,485,8.69
jack-4907-bc1_55,18.34,13.32,17.3,20.34,21.3,26.49,17.62,19.24428571,0.904285714,5.924285714,1.944285714,1.095714286,2.055714286,7.245714286,1.624285714,20.79428571,2.970612245,1.034210526,13.64,12.45,10.49,NA,NA,,12.19333333,Jacksonville-4907,Black coral,Gulf Stream,-9,8.95
jack-4907-bc1_56,15.23,12.31,15.48,19.69,19.25,25,16.89,17.69285714,2.462857143,5.382857143,2.212857143,1.997142857,1.557142857,7.307142857,0.802857143,21.72285714,3.103265306,1.322368421,9.63,11.08,5.22,NA,NA,,8.643333333,Jacksonville-4907,Black coral,Gulf Stream,-25,8.99
