coral id ,Coral,sample no. ,sample.id,calc year bp,bulk N,Glx,Glx.sd,Asx,Asx.sd,Ala,Ala.sd,Ile,Ile.sd,Leu,Leu.sd,Pro,Pro.sd,Val,Val.sd,Gly,Gly.sd,Ser,Ser.sd,Lys,Lys.sd,Tyr,Tyr.sd,Phe,Phe.sd,Thr,Thr.sd
sav-4902-bc1,Savannah Banks-4902,2,sav-4902-bc1_2,653,8.95,14.26,0.590500635,13.56,0.400374824,16.14,0.303414458,20.67,0.323272847,19.28,0.734644812,28.84,0.236239991,20.57,0.650666581,10.39,0.096027774,17.45,4.072227953,,,,,8.43,1.004923048,,10.46505864
sav-4902-bc1,Savannah Banks-4902,7,sav-4902-bc1_7,695,9.02,14.16,0.754395785,18.95,0.028991378,20.76,0.291327994,24.4,0.71842049,23.31,0.144249783,32.51,0.16475588,20.93,0.166170094,11.21,0.161927453,11.75,1,,,,,7.32,0.352139177,,1
sav-4902-bc1,Savannah Banks-4902,15,sav-4902-bc1_15,829,9.97,17.29,0.653602555,14.35,0.705060778,18.6,0.354824323,23.82,0.859326655,22.69,0.50989244,31.37,0.30794756,22.85,0.873531053,11.6,0.282757316,13.89,0.836068956,,,,,11,1.068757222,,0.653113849
sav-4902-bc1,Savannah Banks-4902,33,sav-4902-bc1_33,1047,9.77,16.07,1.820800625,19.54,0.023334524,20.64,0.368402633,26.18,0.554371716,25.46,0,33.94,0.152735065,22.18,0.315369624,11.95,0.354260497,10.07,0.175362482,,,,,12.67,0.424264069,,0.415778787
sav-4902-bc1,Savannah Banks-4902,61,sav-4902-bc1_61,1372,8.26,16.09,1.058538851,18.74,0.494974747,21.57,0.102530483,23.82,0.140007143,26.26,0.231223917,34.11,0.014849242,22.05,0.023334524,11.06,0.030405592,11.75,0.833678895,,,,,10.99,0.323147799,,0.259508189
sav-4902-bc1,Savannah Banks-4902,66,sav-4902-bc1_66,1410,8.18,18.35,0.719834703,19.93,0.581241774,20.78,0.451841233,23.93,0.249608694,23.34,0.276478751,32.52,0.665387481,20.67,0.315369624,11.65,0.009899495,11.39,1.087530229,,,,,11.49,0.468811796,,0.301227489
sav-4902-bc1,Savannah Banks-4902,115,sav-4902-bc1_115,1950,8.62,18.07,0.408000613,20.54,0.8,19.92,0.062932504,23.37,0.050911688,23.09,0.357088924,33.48,0.459619408,20.37,0.005656854,13.01,0.066468037,14.23,0.436991991,,,,,8.83,0.067175144,,0.16263456
jack-4907-bc1,Jacksonville Lithoherms-4907,23,jack-4907-bc1_23,1465,8.69,16.93,0,14.51,0,19.3,0,19.18,0,19.41,0,25.5,0,14.78,0,10.4,0,11.13,0,,,,,10.86,0,,0
jack-4907-bc1,Jacksonville Lithoherms-4907,55,jack-4907-bc1_55,1959,8.95,17.3,0,13.32,0,18.34,0,20.34,0,21.3,0,26.49,0,17.62,0,12.45,0,10.49,0,,,,,13.64,0,,0
jack-4907-bc1,Jacksonville Lithoherms-4907,56,jack-4907-bc1_56,1975,8.99,15.48,0.728434165,12.31,0.036864617,15.23,0.06151829,19.69,0.469518903,19.25,0.500631601,25,0.16970661,16.89,0.024748737,11.08,0.293449314,5.22,0.856306312,,,,,9.63,0,,0.093338095
jack-4907-bc1,Jacksonville Lithoherms-4907,134,jack-4907-bc1_134,2557,8.21,14.45,1.985657154,14.45,4.98015306,14.05,1.145512986,19.96,1.443912047,16.8,0.461033621,26.04,2.179148993,15.19,0.550836183,12.5,0.842871283,7.65,2.821356057,,,,,9.36,0,,3.515734916
jack-4684-bc1,Jacksonville Lithoherms-4684,36,jack-4684-bc1_36,58,8.99,14.32,0.256349371,13.51,0.361331565,15.57,0.330925974,20.8,1.496945056,18.55,1.733825827,26.38,0.53598694,17.01,1.430477018,8.63,0.45042702,5.95,0.926309883,,,,,4.13,0.977656893,,3.338251114
jack-4684-bc1,Jacksonville Lithoherms-4684,39,jack-4684-bc1_39,63,9.03,14.55,0.662395803,14.02,0.149221312,15.48,0.866750829,21.39,0.385757696,19.09,0.571464785,26.01,1.090429273,16.2,1.126120775,9.31,0.23118463,7.3,0.890958473,,,,,1.39,1.028721877,,4.037809472
jack-4684-bc1,Jacksonville Lithoherms-4684,41,jack-4684-bc1_41,67,8.31,13.98,0.443992868,11.76,0.253851334,15.31,0.417193001,19.51,0.658316413,18.58,0.459619408,25.83,0.234759451,16.13,0.356381818,9.57,0.385373196,7.18,0.336582828,,,,,5.91,1.854703301,,2.040710171
jack-4684-bc1,Jacksonville Lithoherms-4684,85,jack-4684-bc1_85,197,8.02,15.99,0.95636373,14.19,0.441234631,14.7,0.091923882,21.06,2.117077703,18.38,1.42128463,24.91,0.040305087,15.1,0.172534055,10.24,0.028991378,7.7,1.653922761,,,,,6.76,1.088956075,,13.86989951
jack-4684-bc1,Jacksonville Lithoherms-4684,155,jack-4684-bc1_155,387,7.85,15.37,1.023630304,14,0.12303658,14.1,0.226981277,20.64,2.028689355,18.11,0.901561146,24.23,0.581948881,15.79,0.480832611,11.51,0.591141269,8.13,0.082024387,,,,,7.29,0.942916928,,0.909339321
