Year(AD),Mg/Ca ,StdError(se),up,dn,d18Oc,se,up,dn,SST(Anand),sst_se,up,dn,d18Osw ,s.e.,up,dn,,SST,se,up,dn,SSS,se,up,dn,d18Ow,up,dn
1850,4.64,0.11,4.85,4.42,-1.46,0.1,-1.25,-1.66,25.61,0.23,-1.2,-2.12,1.35,0.15,-1.83,-2.42,,25.76,0.19,25.96,25.57,36.42,0.11,36.53,36.31,1.24,1.27,1.2
1750,4.61,0.14,4.89,4.33,-1.53,0.1,-1.34,-1.73,25.55,0.3,-1.12,-2.34,1.31,0.23,-1.88,-2.8,,25.72,0.29,26.02,25.43,36.39,0.17,36.56,36.22,1.22,1.28,1.17
1650,4.37,0.15,4.67,4.07,-1.52,0.1,-1.32,-1.73,25.02,0.33,-1.08,-2.38,1.25,0.21,-1.96,-2.81,,25.52,0.45,25.97,25.07,36.33,0.15,36.48,36.18,1.2,1.25,1.16
1550,4.33,0.08,4.48,4.17,-1.41,0.06,-1.28,-1.54,24.92,0.17,-1.19,-1.88,1.3,0.02,-1.84,-1.91,,25.12,0.37,25.48,24.75,36.34,0.01,36.35,36.33,1.21,1.21,1.21
1350,4.39,0.06,4.51,4.27,-1.55,0.04,-1.47,-1.62,25.08,0.13,-1.36,-1.88,1.16,0.05,-1.77,-1.99,,25.68,0.07,25.74,25.61,36.31,0.03,36.34,36.28,1.2,1.21,1.19
1300,4.5,0.05,4.6,4.4,-1.56,0.04,-1.49,-1.63,25.31,0.11,-1.41,-1.85,1.19,0.06,-1.73,-1.98,,25.94,0.18,26.11,25.76,36.3,0.04,36.34,36.26,1.2,1.21,1.18
1250,4.57,0.05,4.67,4.48,-1.72,0.05,-1.62,-1.81,25.47,0.1,-1.61,-2.01,1.11,0.06,-1.89,-2.14,,26.5,0.18,26.68,26.32,36.26,0.04,36.29,36.22,1.18,1.19,1.17
1200,4.51,0.06,4.63,4.38,-1.7,0.05,-1.59,-1.81,25.33,0.14,-1.54,-2.08,1.09,0.03,-2.01,-2.15,,26.37,0.21,26.58,26.16,36.24,0.01,36.25,36.23,1.18,1.18,1.17
1150,4.42,0.05,4.52,4.32,-1.61,0.06,-1.5,-1.73,25.14,0.11,-1.51,-1.94,1.11,0.03,-1.87,-2.01,,26.04,0.14,26.18,25.9,36.25,0.02,36.28,36.23,1.18,1.19,1.17
1100,4.34,0.06,4.47,4.21,-1.65,0.05,-1.56,-1.75,24.97,0.15,-1.46,-2.04,1.06,0.05,-1.94,-2.14,,26.02,0.16,26.18,25.86,36.21,0.04,36.25,36.17,1.17,1.18,1.15
1050,4.39,0.08,4.56,4.23,-1.7,0.04,-1.62,-1.78,25.08,0.18,-1.42,-2.15,1.02,0.03,-2.09,-2.21,,26.26,0.25,26.51,26,36.19,0.03,36.22,36.16,1.16,1.17,1.15
1000,4.46,0.07,4.6,4.32,-1.72,0.04,-1.64,-1.8,25.24,0.15,-1.5,-2.11,1.02,0.03,-2.06,-2.16,,26.44,0.16,26.61,26.28,36.2,0.03,36.23,36.17,1.16,1.17,1.16
950,4.42,0.06,4.54,4.3,-1.57,0.06,-1.46,-1.69,25.14,0.14,-1.42,-1.96,1.18,0.08,-1.79,-2.13,,25.73,0.28,26.02,25.45,36.29,0.06,36.34,36.23,1.19,1.21,1.17
900,4.56,0.07,4.7,4.41,-1.5,0.06,-1.39,-1.62,25.44,0.16,-1.3,-1.94,1.29,0.06,-1.82,-2.06,,25.71,0.31,26.02,25.4,36.37,0.04,36.41,36.33,1.22,1.23,1.21
850,4.48,0.07,4.62,4.33,-1.62,0.06,-1.5,-1.74,25.27,0.16,-1.42,-2.07,1.21,0.07,-1.93,-2.2,,25.94,0.26,26.2,25.67,36.32,0.04,36.36,36.28,1.2,1.21,1.19
800,4.4,0.07,4.53,4.27,-1.59,0.06,-1.47,-1.7,25.1,0.15,-1.4,-2,1.16,0.07,-1.87,-2.14,,25.81,0.24,26.06,25.57,36.27,0.04,36.31,36.23,1.19,1.2,1.17
750,4.57,0.06,4.69,4.45,-1.61,0.05,-1.5,-1.72,25.47,0.13,-1.46,-1.98,1.15,0.04,-1.89,-2.06,,26.15,0.08,26.23,26.06,36.28,0.03,36.32,36.25,1.19,1.2,1.18
700,4.41,0.08,4.57,4.25,-1.64,0.05,-1.54,-1.73,25.11,0.18,-1.37,-2.08,1.12,0.03,-2.02,-2.14,,25.89,0.19,26.08,25.7,36.25,0.03,36.28,36.22,1.18,1.19,1.17
650,4.3,0.04,4.38,4.21,-1.71,0.05,-1.6,-1.82,24.86,0.09,-1.64,-2,0.97,0.05,-1.89,-2.11,,26.14,0.28,26.42,25.87,36.16,0.02,36.18,36.13,1.15,1.16,1.14
600,4.35,0.04,4.44,4.26,-1.59,0.08,-1.43,-1.75,24.99,0.1,-1.56,-1.95,1.07,0.1,-1.74,-2.15,,25.95,0.37,26.31,25.58,36.22,0.06,36.28,36.17,1.17,1.19,1.15
550,4.35,0.04,4.43,4.26,-1.42,0.05,-1.33,-1.52,24.98,0.1,-1.32,-1.72,1.29,0.04,-1.64,-1.79,,25.22,0.21,25.42,25.01,36.34,0.02,36.36,36.32,1.21,1.22,1.2
500,4.37,0.04,4.45,4.28,-1.43,0.05,-1.34,-1.53,25.03,0.1,-1.33,-1.72,1.28,0.05,-1.63,-1.81,,25.28,0.23,25.51,25.05,36.35,0.02,36.37,36.32,1.21,1.22,1.2
450,4.36,0.06,4.48,4.24,-1.44,0.06,-1.33,-1.55,25,0.14,-1.27,-1.82,1.27,0.06,-1.7,-1.95,,25.31,0.23,25.54,25.08,36.33,0.04,36.37,36.29,1.21,1.22,1.19
