Year(AD),Mg/Ca ,StdError(se),up,dn,d18Oc,se,up,dn,SST(Anand),s.e.,up,dn,d18Osw ,s.e.,up,dn,,SST,se,up,dn,SSS,se,up,dn,d18Ow,up,dn
1850,4.56,0.06,4.68,4.44,-1.59,0.09,-1.42,-1.76,25.44,0.15,25.74,25.14,1.21,0.1,1.32,1.11,,,,,,,,,,,,
1750,4.47,0.08,4.63,4.31,-1.62,0.05,-1.53,-1.71,25.25,0.2,25.66,24.84,1.15,0.07,1.22,1.08,,,,,,,,,,,,
1650,4.5,0.09,4.68,4.32,-1.64,0.04,-1.57,-1.71,25.32,0.23,25.77,24.87,1.15,0.05,1.19,1.1,,,,,,,,,,,,
1550,4.5,0.06,4.63,4.37,-1.67,0.06,-1.54,-1.8,25.29,0.19,25.66,24.92,1.1,0.05,1.16,1.05,,,,,,,,,,,,
1450,4.37,0.05,4.47,4.26,-1.66,0.07,-1.52,-1.8,25.02,0.14,25.29,24.74,1.06,0.06,1.12,1,,,,,,,,,,,,
1350,4.4,0.08,4.55,4.25,-1.63,0.08,-1.47,-1.79,25.18,0.2,25.57,24.78,1.12,0.07,1.2,1.05,,,,,,,,,,,,
1250,4.49,0.07,4.63,4.36,-1.61,0.08,-1.46,-1.77,25.3,0.16,25.63,24.98,1.17,0.07,1.24,1.1,,,,,,,,,,,,
1150,4.44,0.05,4.54,4.34,-1.64,0.05,-1.54,-1.73,25.18,0.13,25.44,24.93,1.12,0.06,1.18,1.06,,,,,,,,,,,,
1050,4.5,0.06,4.61,4.39,-1.66,0.06,-1.53,-1.79,25.31,0.14,25.59,25.04,1.12,0.06,1.19,1.06,,,,,,,,,,,,
950,4.44,0.08,4.6,4.28,-1.62,0.07,-1.48,-1.76,25.28,0.18,25.65,24.92,1.15,0.06,1.21,1.1,,,,,,,,,,,,
850,4.38,0.07,4.52,4.23,-1.66,0.05,-1.55,-1.77,25.11,0.18,25.47,24.76,1.08,0.04,1.12,1.03,,,,,,,,,,,,
750,4.45,0.06,4.58,4.33,-1.67,0.04,-1.58,-1.76,25.22,0.16,25.53,24.91,1.09,0.04,1.13,1.05,,,,,,,,,,,,
650,4.47,0.08,4.63,4.31,-1.61,0.04,-1.54,-1.69,25.21,0.17,25.54,24.88,1.15,0.02,1.17,1.13,,,,,,,,,,,,
550,4.4,0.08,4.56,4.24,-1.69,0.05,-1.59,-1.8,25.04,0.15,25.34,24.74,1.03,0.05,1.08,0.98,,,,,,,,,,,,
450,4.3,0.07,4.44,4.16,-1.63,0.08,-1.48,-1.79,24.81,0.13,25.06,24.55,1.04,0.07,1.1,0.97,,,,,,,,,,,,
350,4.25,0.05,4.35,4.15,-1.51,0.05,-1.41,-1.61,24.75,0.13,25.01,24.49,1.14,0.06,1.2,1.08,,,,,,,,,,,,
250,4.42,0.06,4.54,4.29,-1.59,0.05,-1.48,-1.7,25.12,0.19,25.49,24.75,1.15,0.05,1.2,1.1,,,,,,,,,,,,
