coral id ,sample no. ,sample.id,calc year bp,bulk N,Glu,Asp,Ala,Ile,Leu,Pro,Val,Gly,Ser,Lys,Tyr,Phe
sav-4902-bc1,2,sav-4902-bc1_2,653,8.95,14.26,13.56,16.14,20.67,19.28,28.84,20.57,10.39,17.45,,,8.43
sav-4902-bc1,7,sav-4902-bc1_7,695,9.02,14.16,18.95,20.76,24.4,23.31,32.51,20.93,11.21,11.75,,,7.32
sav-4902-bc1,15,sav-4902-bc1_15,829,9.97,17.29,14.35,18.6,23.82,22.69,31.37,22.85,11.6,13.89,,,11
sav-4902-bc1,33,sav-4902-bc1_33,1047,9.77,16.07,19.54,20.64,26.18,25.46,33.94,22.18,11.95,10.07,,,12.67
sav-4902-bc1,61,sav-4902-bc1_61,1372,8.26,16.09,18.74,21.57,23.82,26.26,34.11,22.05,11.06,11.75,,,10.99
sav-4902-bc1,66,sav-4902-bc1_66,1410,8.18,18.35,19.93,20.78,23.93,23.34,32.52,20.67,11.65,11.39,,,11.49
sav-4902-bc1,115,sav-4902-bc1_115,1950,8.62,18.07,20.54,19.92,23.37,23.09,33.48,20.37,13.01,14.23,,,8.83
jack-4907-bc1,23,jack-4907-bc1_23,1465,8.69,16.93,14.51,19.3,19.18,19.41,25.5,14.78,10.4,11.13,,,10.86
jack-4907-bc1,55,jack-4907-bc1_55,1959,8.95,17.3,13.32,18.34,20.34,21.3,26.49,17.62,12.45,10.49,,,13.64
jack-4907-bc1,56,jack-4907-bc1_56,1975,8.99,15.48,12.31,15.23,19.69,19.25,25,16.89,11.08,5.22,,,9.63
jack-4907-bc1,134,jack-4907-bc1_134,2557,8.21,14.45,14.45,14.05,19.96,16.8,26.04,15.19,12.5,7.65,,,9.36
jack-4684-bc1,36,jack-4684-bc1_36,58,8.99,14.32,13.51,15.57,20.8,18.55,26.38,17.01,8.63,5.95,,,4.13
jack-4684-bc1,39,jack-4684-bc1_39,63,9.03,14.55,14.02,15.48,21.39,19.09,26.01,16.2,9.31,7.3,,,1.39
jack-4684-bc1,41,jack-4684-bc1_41,67,8.31,13.98,11.76,15.31,19.51,18.58,25.83,16.13,9.57,7.18,,,5.91
jack-4684-bc1,85,jack-4684-bc1_85,197,8.02,15.99,14.19,14.7,21.06,18.38,24.91,15.1,10.24,7.7,,,6.76
jack-4684-bc1,155,jack-4684-bc1_155,387,7.85,15.37,14,14.1,20.64,18.11,24.23,15.79,11.51,8.13,,,7.29
