Zone,Size fraction,Glx,Asx,Ala,Ile,Leu,Pro,Val,Gly,Ser,Lys,Phe,Thr,Bulk
W,40–200,11.90,8.7,12.3,8.7,8.5,8.6,10.2,3.4,2.7,1.8,-0.2,-10.5,2.6
W,200–500,11.70,7.8,11.4,7.9,7.4,8.4,9.5,2.30,2.6,1.3,-0.8,-10.8,2.7
W,500–1000,13.20,9,12.5,8.5,8.5,9.8,9.7,2.90,1.3,1,0.3,-11.6,2.8
W,1000–2000,14.70,9.9,14.8,11.9,8.5,10.2,11.7,2.10,3.2,1,-0.4,-13.9,3
W,>2000,12.40,8.6,12,9.9,8.9,9.3,9.9,-0.80,0.4,-0.2,-1.8,-14.5,4.3
C,40–200,8.60,6,8.8,5.7,5.8,5.9,6.6,1.40,-0.8,0,-1.1,-9.9,0.4
C,200–500,10.30,6.7,9.7,6,5.9,6.7,7.6,0.40,0.8,0,-1.6,-12.9,1.1
C,500–1000,11.00,7.7,11.8,7.8,7.7,8.2,9.1,0.60,1.2,0.1,-1.8,-15.5,0.9
C,1000–2000,11.60,6.4,12.6,8.2,4.3,8.6,8.7,0.80,1.5,2.3,-0.8,-15.1,1.3
C,>2000,11.90,8.4,13.4,8.7,8.7,9.9,10,-1.40,0.7,-0.2,-0.9,-16.7,1.9
E,40–200,13.00,9.2,12.2,8.9,8.7,9.3,10.8,3.90,2.6,2.3,0.1,-9.8,3.1
E,200–500,12.20,9.8,13.2,9,8.5,10,10.1,4.00,3.2,2.7,-0.3,-10,3.5
E,500–1000,12.70,10,13.7,8.8,9.2,10.9,11,3.90,4,2.2,0,-10.2,3.8
E,1000–2000,13.90,11.1,15.1,10.8,10.6,10.9,11.6,1.70,2.9,4.2,0.7,-12.3,4.1
E,>2000,14.10,10.7,15.4,11.4,11.6,11.3,12.6,3.00,3.2,2.6,0.2,-12.6,3.9
