Coral,ID 1,ID 2,Sample,Distance (um),Fraction modern,error,D14C,D14C,d13C,14C Age,error,Year analyzed
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_17,2,95,0.88,0.0041,-118.7,-124.6,-14.8,1010,35,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_18,7,236,0.86,0.0032,-138.1,-143.9,-15.2,1190,30,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_1,11,512,0.80,0.0028,-203.5,-208.9,-15.0,1830,30,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_2,20,897,0.79,0.0032,-214.1,-219.4,-15.7,1930,30,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_3,30,1229,0.77,0.0028,-231.1,-236.3,-15.3,2110,30,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_4,41,1599,0.76,0.0024,-236.6,-241.8,-15.4,2170,25,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_5,51,1890,0.75,0.0028,-251.3,-256.4,-15.1,2320,30,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_6,60,2180,0.74,0.0028,-258.1,-263.1,-15.3,2400,30,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_7,71,2558,0.74,0.003,-260.9,-265.9,-15.2,2430,30,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_8,80,2986,0.73,0.0028,-274.6,-279.5,-15.2,2580,30,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_9,90,3484,0.72,0.0025,-276.4,-281.3,-15.4,2600,25,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_10,100,3799,0.72,0.0025,-284.1,-288.9,-15.4,2680,30,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_11,121,4906,0.71,0.003,-294.1,-298.8,-15.3,2800,35,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_12,"141,142",5983,0.71,0.0022,-294.7,-299.5,-15.4,2800,25,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_13,161,6704,0.70,0.0024,-298.0,-302.7,-15.4,2840,30,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_14,"178,179,180",7349,0.70,0.0025,-303.2,-307.9,-15.9,2900,30,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_15,"206,207",7988,0.68,0.0024,-318.1,-322.7,-15.7,3070,30,2006
jack-4907-bc1-d1,, Jacksonville Deep Water Coral 1105LEJK4907_16,"220,221",8796,0.68,0.0028,-323.1,-327.6,-16.3,3130,35,2006
stet-4904-bc1,Beta-233770,080907SB-1B,,0,1.08,,80.0,72.6,-16.7,-618,,2007
stet-4904-bc1,Beta-233771,080907SB-2B,,2750,0.93,,-69.7,-76.0,-16.0,580,40,2007
stet-4904-bc1,Beta-233772,080907SB-3B,,5500,0.85,,-153.6,-159.5,-15.7,1340,40,2007
stet-4904-bc1,Beta-233773,080907SB-4B,,8250,0.83,,-174.5,-180.1,-15.0,1540,40,2007
stet-4904-bc1,Beta-233774,080907SB-5B,,11000,0.79,,-211.6,-217.0,-16.6,1910,40,2007
sav-4902-bc1,,JSL054902-9,9,1690,0.87,,-128.0,-133.9,-16.1,1100,40,2006
sav-4902-bc1,,JSL054902-25,25,7200,0.83,,-170.3,-175.9,-15.6,1500,50,2006
sav-4902-bc1,,JSL054902-35,35,9910,0.83,,-166.2,-171.8,-16.0,1460,40,2006
sav-4902-bc1,,JSL054902-50,50,13820,0.82,,-180.6,-186.1,-16.3,1600,40,2006
sav-4902-bc1,,JSL054902-75,75,22120,0.76,,-240.5,-245.6,-16.2,2210,50,2006
sav-4902-bc1,,JSL054902-100,100,31180,0.77,,-232.0,-237.1,-16.6,2120,40,2006
sav-4902-bc1,,JSL054902-147,147,44920,0.73,,-270.2,-275.1,-17.8,2530,40,2006
jack-4684-bc1,,A84016-1,1,22,1.09,,89.0,81.6,-19.4,-685,,2006
jack-4684-bc1,,A84016-2,2,105,1.10,,96.0,88.6,-18.0,-736,,2006
jack-4684-bc1,,A84016-3,3,121,1.10,,95.0,87.6,-17.5,-729,,2006
jack-4684-bc1,,A84016-8,8,270,1.14,,135.0,127.3,-17.4,-1017,,2006
jack-4684-bc1,,A84016-9,9,369,1.12,,117.0,109.3,-17.5,-889,,2007
jack-4684-bc1,,A84016-10,10,545,1.09,0.0038,91.8,84.5,-16.7,-706,31,2006
jack-4684-bc1,,A84016-13,13,682,0.95,,-52.1,-58.6,-17.3,430,40,2007
jack-4684-bc1,,A84016-14,14,737,0.95,,-52.1,-58.5,-16.7,430,40,2006
jack-4684-bc1,,A84016-17,17,963,0.96,,-43.8,-50.3,-17.0,360,40,2006
jack-4684-bc1,,A84016-18,18,1029,0.95,,-49.8,-56.3,-17.1,410,40,2007
