Sample,Phe,Thr,Ile,Leu,Val,Lys,Asp,Glu,Pro,Ala,Ser,Gly
STET-4904-7,0.235595241,2.818844884,3.052257779,6.293200457,2.649396946,5.126482364,5.726201457,3.504496627,3.567545857,11.82838352,4.150480711,40.73365811
STET-4904-8,0.171193324,2.916958,2.916867587,6.290900996,2.723108315,5.17435797,5.378722036,3.544449779,3.941254291,14.07178182,3.476613477,38.43878617
STET-4904-22,0.342956174,2.601118659,3.543489611,6.267307009,2.966196724,6.560635631,6.003898794,3.622727977,3.750790764,11.01167854,4.048626893,38.88395868
STET-4904-25,0.234824207,2.815212648,2.613779121,6.157713435,2.234923802,5.000105242,5.566360109,3.669527042,3.758282657,11.73757593,3.945172365,39.19380609
STET-4904-40,0.280590127,2.765648065,3.225563895,6.006688695,2.763572097,5.338388123,5.224603442,3.688250459,3.269479099,11.45041511,3.7092554,33.99308205
STET-4904-46,0.209090384,2.823356894,2.310703515,6.398566511,2.623370273,6.489625278,5.929444327,3.503158071,3.651146438,12.52402788,3.365012879,37.17219542
STET-4904-103,0.212807935,2.87233859,2.83789171,6.236561926,2.544436264,5.74863475,5.276173504,3.677466848,3.416513898,12.4068009,3.820435654,37.40240115
STET-4904-109,0.215718822,3.362422047,2.913959629,7.036888387,2.937596507,4.360985474,5.565684696,3.443040366,3.659900933,15.07753684,3.976824789,35.62722244
STET-4904-135,0.165836413,3.173325285,3.061787927,6.192352417,2.642948862,5.750904549,5.707494343,3.331004081,3.520016182,13.1171823,3.896461979,32.611069
STET-4904-170,0.21638727,3.23721563,2.910160998,6.403630732,2.982349031,5.85136059,6.434469011,3.638078335,3.391165047,13.5681578,4.053519823,34.99947962
