,Phe,Thr,Ile,Leu,Val,Lys,Asp,Glu,Pro,Ala,Ser,Gly
STET-4904-7,-9.41638158,2.758479531,-1.956267944,-14.96475279,-5.185164913,-5.173066363,-3.471621479,1.748245613,-6.20063158,-4.779824562,11.18909682,12.28966727
STET-4904-8,-9.953550572,10.18280359,-4.777257011,-12.64731762,-4.666596405,-4.179297855,-4.684065092,-0.276845528,-2.817663072,-3.632196405,14.06712458,10.6611944
STET-4904-22,-9.312752336,5.644757134,-2.034667109,-13.85521256,-5.194439836,-8.163526793,-1.571303473,0.842165427,-5.719039836,-3.232834573,11.06931942,13.26643947
STET-4904-25,-11.77189249,5.193472094,1.445684215,-11.17204306,-5.295561239,-7.115730804,-3.63516427,0.945138761,-3.097161239,-4.131220888,9.865138761,9.901862899
STET-4904-40,-10.54490585,11.03252549,-3.764353295,-10.52862602,-4.644371477,-10.65296858,-0.698686629,0.048091681,-0.988371477,-2.700855688,9.983013708,11.37972507
STET-4904-46,-7.485760449,14.55813949,0.713240498,-13.50736556,-3.840562533,-10.25155529,-3.978224149,2.55263045,0.855437467,-3.597588849,19.42806092,10.38448919
STET-4904-103,-9.30317669,7.677379655,-0.215590042,-10.58031731,-8.211517315,-12.18507094,-0.750347618,2.352156369,-0.766517315,-2.73793135,11.32397898,10.7358436
STET-4904-109,-8.158954509,6.567970207,-1.158847975,-9.901211612,-5.158938884,-14.37424323,-0.7880904,-0.024386253,-1.984538884,-2.210438884,9.02150556,12.13137146
STET-4904-135,-10.3408797,6.39131727,-2.955834245,-12.67692515,-4.770779699,-7.213886946,-3.186258487,1.78425188,-0.803979699,-1.596274436,7.62087956,12.21265478
STET-4904-170,-10.53409713,10.80218207,2.48107096,-14.27620177,-4.917883586,-3.529021267,-2.304383586,1.251756765,-0.541216919,-6.807453761,18.27524604,9.701363541
