"","coral.id","sampler","sample.no.","distance..mm.","d15n.vs.air","d13c.vs.vpdb","treatment","linear.bp.min95","linear.bp.max95","linear.bp.fit","year.ad","min.ad","max.ad","d15n.ra","d13c.ra"
"1","stet-4904-bc1-d2","john",1,0.03,9.24,-16.91,"a",-32,65,-8,1958,1982,1885,NA,NA
"2","stet-4904-bc1-d2","john",2,0.06,9.24,-16.84,"a",-28,69,-4,1954,1978,1881,NA,NA
"3","stet-4904-bc1-d2","john",3,0.09,9.63,-16.91,"a",-24,72,-1,1951,1974,1878,9.37,-16.8866666666667
"4","stet-4904-bc1-d2","john",4,0.12,8.88,-16.4,"a",-20,76,3,1947,1970,1874,9.25,-16.7166666666667
"5","stet-4904-bc1-d2","john",5,0.15,9.34,-16.82,"a",-16,79,7,1943,1966,1871,9.28333333333333,-16.71
"6","stet-4904-bc1-d2","john",6,0.17,9.35,-16.62,"a",-13,81,10,1940,1963,1869,9.19,-16.6133333333333
"7","stet-4904-bc1-d2","john",7,0.2,9.5,-16.99,"a",-9,85,13,1937,1959,1865,9.39666666666667,-16.81
"8","stet-4904-bc1-d2","john",8,0.23,10.16,-16.51,"a",-5,88,17,1933,1955,1862,9.67,-16.7066666666667
"9","stet-4904-bc1-d2","john",9,0.26,9.1,-16.62,"a",-2,91,21,1929,1952,1859,9.58666666666666,-16.7066666666667
"10","stet-4904-bc1-d2","john",10,0.29,9.15,-16.73,"a",3,95,25,1925,1947,1855,9.47,-16.62
"11","stet-4904-bc1-d2","john",11,0.32,9.13,-16.3,"a",7,98,28,1922,1943,1852,9.12666666666666,-16.55
"12","stet-4904-bc1-d2","john",12,0.35,9.67,-16.27,"a",11,102,32,1918,1939,1848,9.31666666666666,-16.4333333333333
"13","stet-4904-bc1-d2","john",13,0.38,9.01,-16.25,"a",15,106,36,1914,1935,1844,9.27,-16.2733333333333
"14","stet-4904-bc1-d2","john",14,0.41,9.2,-16.22,"a",18,109,40,1910,1932,1841,9.29333333333333,-16.2466666666667
"15","stet-4904-bc1-d2","john",15,0.44,9.43,-15.96,"a",22,113,43,1907,1928,1837,9.21333333333333,-16.1433333333333
"16","stet-4904-bc1-d2","john",16,0.46,8.88,-16.24,"a",25,115,46,1904,1925,1835,9.17,-16.14
"17","stet-4904-bc1-d2","john",17,0.49,8.74,-15.75,"a",29,118,50,1900,1921,1832,9.01666666666666,-15.9833333333333
"18","stet-4904-bc1-d2","john",18,0.52,9.42,-15.37,"a",33,122,53,1897,1917,1828,9.01333333333333,-15.7866666666667
"19","stet-4904-bc1-d2","john",19,0.55,8.41,-15.56,"a",36,125,57,1893,1914,1825,8.85666666666666,-15.56
"20","stet-4904-bc1-d2","john",20,0.58,8.58,-16.15,"a",40,129,61,1889,1910,1821,8.80333333333333,-15.6933333333333
"21","stet-4904-bc1-d2","john",21,0.61,8.6,-15.68,"a",44,132,65,1885,1906,1818,8.52999999999999,-15.7966666666667
"22","stet-4904-bc1-d2","john",22,0.64,9.12,-15.79,"a",48,135,69,1881,1902,1815,8.76666666666666,-15.8733333333333
"23","stet-4904-bc1-d2","john",23,0.67,8.32,-15.59,"a",52,139,72,1878,1898,1811,8.67999999999999,-15.6866666666667
"24","stet-4904-bc1-d2","john",24,0.7,8.44,-16.05,"a",55,142,76,1874,1895,1808,8.62666666666666,-15.81
"25","stet-4904-bc1-d2","john",25,0.73,8.38,-15.84,"a",59,146,80,1870,1891,1804,8.37999999999999,-15.8266666666667
"26","stet-4904-bc1-d2","john",26,0.75,8.54,-15.56,"a",62,148,82,1868,1888,1802,8.45333333333333,-15.8166666666667
"27","stet-4904-bc1-d2","john",27,0.78,8.65,-15.53,"a",66,152,86,1864,1884,1798,8.52333333333333,-15.6433333333333
"28","stet-4904-bc1-d2","john",28,0.81,9.61,-15.22,"a",69,155,90,1860,1881,1795,8.93333333333332,-15.4366666666667
"29","stet-4904-bc1-d2","john",29,0.84,8.14,-15.7,"a",73,159,94,1856,1877,1791,8.79999999999999,-15.4833333333333
"30","stet-4904-bc1-d2","john",30,0.87,8.51,-15.29,"a",77,162,97,1853,1873,1788,8.75333333333332,-15.4033333333333
"31","stet-4904-bc1-d2","john",31,0.9,8.49,-15.52,"a",81,166,101,1849,1869,1784,8.37999999999999,-15.5033333333333
"32","stet-4904-bc1-d2","john",32,0.93,8.08,-15.09,"a",84,169,105,1845,1866,1781,8.35999999999999,-15.3
"33","stet-4904-bc1-d2","john",33,0.96,8.28,-15.01,"a",88,173,109,1841,1862,1777,8.28333333333333,-15.2066666666667
"34","stet-4904-bc1-d2","john",34,0.99,8.03,-15.34,"a",92,176,112,1838,1858,1774,8.12999999999999,-15.1466666666667
"35","stet-4904-bc1-d2","john",35,1.02,8.45,-15.31,"a",95,180,116,1834,1855,1770,8.25333333333332,-15.22
"36","stet-4904-bc1-d2","john",36,1.04,8.21,-15.56,"a",98,182,119,1831,1852,1768,8.22999999999999,-15.4033333333333
"37","stet-4904-bc1-d2","john",37,1.07,9.19,-15.25,"a",101,185,122,1828,1849,1765,8.61666666666666,-15.3733333333333
"38","stet-4904-bc1-d2","john",38,1.1,8.54,-15.33,"a",105,189,126,1824,1845,1761,8.64666666666666,-15.38
"39","stet-4904-bc1-d2","john",39,1.13,7.97,-15.26,"a",109,193,130,1820,1841,1757,8.56666666666666,-15.28
"40","stet-4904-bc1-d2","john",40,1.16,8.51,-15.31,"a",112,196,134,1816,1838,1754,8.33999999999999,-15.3
"41","stet-4904-bc1-d2","john",41,1.19,8.62,-15.17,"a",116,200,138,1812,1834,1750,8.36666666666666,-15.2466666666667
